Date,SPX,TPX,SX5E
2021/11/12,,2037.94,
2021/11/11,4649.27,2014.3,4358
2021/11/10,4646.71,2007.96,4348.82
2021/11/9,4685.25,2018.77,4344.63
2021/11/8,4701.7,2035.22,4352.53
2021/11/5,4697.53,2041.42,4363.04
2021/11/4,4680.06,2055.56,4333.34
2021/11/3,4660.57,2031.67,4309.61
2021/11/2,4630.65,2044.72,4296.22
2021/11/1,4613.67,2001.18,4280.47
2021/10/29,4605.38,1999.66,4250.56
2021/10/28,4596.42,2013.81,4233.87
2021/10/27,4551.68,2018.4,4220.88
2021/10/26,4574.79,1995.42,4223.97
2021/10/25,4566.48,2002.23,4188.31
2021/10/22,4544.9,2000.81,4188.81
2021/10/21,4549.78,2027.67,4155.73
2021/10/20,4536.19,2026.57,4172.17
2021/10/19,4519.63,2019.23,4166.83
2021/10/18,4486.46,2023.93,4151.4
2021/10/15,4471.37,1986.97,4182.91
2021/10/14,4438.26,1973.83,4149.06
2021/10/13,4363.8,1982.68,4083.28
2021/10/12,4350.65,1996.58,4055.09
2021/10/11,4361.19,1961.85,4072.52
2021/10/8,4391.34,1939.62,4073.29
2021/10/7,4399.76,1941.91,4098.34
2021/10/6,4363.55,1947.75,4012.65
2021/10/5,4345.72,1973.92,4065.43
2021/10/4,4300.46,1986.31,3996.41
2021/10/1,4357.04,2030.16,4035.3
2021/9/30,4307.54,2038.29,4048.08
2021/9/29,4359.46,2081.77,4080.22
2021/9/28,4352.63,2087.74,4058.82
2021/9/27,4443.11,2090.75,4165.48
2021/9/24,4455.48,2043.55,4158.51
2021/9/23,4448.98,2064.55,4194.92
2021/9/22,4395.64,2100.17,4150.19
2021/9/21,4354.19,2090.16,4097.51
2021/9/20,4357.73,2096.39,4043.63
2021/9/17,4432.99,2118.87,4130.84
2021/9/16,4473.75,2097.71,4169.87
2021/9/15,4480.7,2091.65,4145.94
2021/9/14,4443.05,2064.93,4191.67
2021/9/13,4468.73,2079.61,4189.53
2021/9/10,4458.58,2063.38,4170.35
2021/9/9,4493.28,2041.22,4177.11
2021/9/8,4514.07,2015.45,4177.15
2021/9/7,4520.03,1983.57,4225.01
2021/9/3,4535.43,1980.79,4246.13
2021/9/2,4536.95,1960.7,4201.98
2021/9/1,4524.09,1950.14,4232.1
2021/8/31,4522.68,1928.77,4227.27
2021/8/30,4528.79,1935.35,4196.41
2021/8/27,4509.37,1935.66,4198.8
2021/8/26,4470,1934.2,4190.98
2021/8/25,4496.19,1915.14,4169.87
2021/8/24,4486.23,1880.68,4181.12
2021/8/23,4479.53,1897.19,4178.08
2021/8/20,4441.67,1923.97,4176.42
2021/8/19,4405.8,1915.63,4147.5
2021/8/18,4400.27,1924.98,4124.71
2021/8/17,4448.08,1956.39,4189.42
2021/8/16,4479.71,1953.55,4196.4
2021/8/13,4468,1954.08,4202.44
2021/8/12,4460.83,1936.28,4229.7
2021/8/11,4447.7,1929.34,4226.33
2021/8/10,4436.75,1928.98,4206.33
2021/8/9,4432.35,1921.43,4187.82
2021/8/6,4436.52,1931.14,4177.15
2021/8/5,4429.1,1940.05,4174.54
2021/8/4,4402.66,1901.08,4161.08
2021/8/3,4423.15,1927.43,4144.9
2021/8/2,4387.16,1919.65,4117.95
2021/7/30,4395.26,1938.04,4116.62
2021/7/29,4419.15,1925.62,4089.3
2021/7/28,4400.64,1904.41,4116.77
2021/7/27,4401.46,1888.89,4103.03
2021/7/26,4422.3,1907.13,4064.83
2021/7/23,4411.79,1932.19,4102.59
2021/7/22,4367.48,1939.61,4109.1
2021/7/21,4358.69,1963.16,4059.05
2021/7/20,4323.06,1967.64,4026.68
2021/7/19,4258.49,1953.33,3956.34
2021/7/16,4327.16,1912.38,3928.53
2021/7/15,4360.03,1920.32,4035.77
2021/7/14,4374.3,1937.68,4056.39
2021/7/13,4369.21,1954.5,4099.5
2021/7/12,4384.63,1948.99,4094.56
2021/7/9,4369.55,1956.31,4093.38
