"t","x"
"1",-0.88
"2",-0.34
"3",-0.07
"4",-0.63
"5",0.05
"6",-0.54
"7",0.54
"8",0.02
"9",-0.3
"10",0.28
"11",-0.53
"12",0.51
"13",-0.28
"14",-0.79
"15",-0.51
"16",0.24
"17",-0.13
"18",-0.16
"19",-0.13
"20",-0.13
"21",-0.41
"22",-0.09
"23",-0.78
"24",-1.54
"25",0.08
"26",-0.51
"27",-0.97
"28",-0.62
"29",-0.3
"30",0.18
"31",-0.13
"32",-0.23
"33",-0.23
"34",-0.58
"35",-0.92
"36",-0.24
"37",-0.52
"38",-0.36
"39",-0.27
"40",-0.7
"41",-0.76
"42",-0.34
"43",-0.18
"44",0
"45",-0.51
"46",-0.64
"47",-0.79
"48",0.08
"49",-0.33
"50",-1.04
"51",-0.65
"52",-0.08
"53",-0.16
"54",-0.01
"55",-0.11
"56",-0.25
"57",-0.21
"58",0.11
"59",-0.71
"60",-0.55
"61",-0.21
"62",0.23
"63",0.14
"64",0.05
"65",-0.01
"66",-0.25
"67",-0.21
"68",0.01
"69",-0.32
"70",-0.03
"71",-0.14
"72",-0.51
"73",-0.27
"74",-0.72
"75",-1.08
"76",-0.45
"77",-0.15
"78",0.09
"79",-0.08
"80",-0.21
"81",-0.18
"82",-0.1
"83",-1.08
"84",-1.55
"85",-1.62
"86",-0.55
"87",-0.04
"88",-0.51
"89",-0.53
"90",-0.08
"91",0.34
"92",0.11
"93",-0.13
"94",-0.3
"95",-0.22
"96",-0.48
"97",-1.33
"98",-1.31
"99",-0.49
"100",-0.51
"101",-0.44
"102",-0.52
"103",-0.42
"104",-0.57
"105",-0.32
"106",-0.46
"107",-1.17
"108",-1.58
"109",0.69
"110",0.2
"111",-0.15
"112",-0.21
"113",0
"114",-0.3
"115",-0.23
"116",-0.28
"117",-0.03
"118",-0.44
"119",-0.43
"120",-0.34
"121",-1.11
"122",-0.52
"123",-0.26
"124",-0.46
"125",-0.36
"126",0.25
"127",0.18
"128",0.1
"129",-0.46
"130",-0.66
"131",-0.67
"132",-1.25
"133",0.1
"134",-0.96
"135",-0.81
"136",-0.44
"137",-0.12
"138",0.09
"139",0.18
"140",-0.11
"141",0.27
"142",-0.14
"143",-0.04
"144",-0.62
"145",0.24
"146",-0.24
"147",-0.36
"148",-0.18
"149",-0.6
"150",0.24
"151",0.14
"152",-0.21
"153",-0.12
"154",-0.62
"155",-0.33
"156",-0.27
"157",-0.37
"158",0.16
"159",-0.55
"160",-0.12
"161",-0.75
"162",-0.17
"163",-0.2
"164",-0.17
"165",-0.14
"166",-0.12
"167",-0.11
"168",-0.74
"169",-0.69
"170",-0.95
"171",-0.07
"172",-0.12
"173",0.17
"174",0.26
"175",0.59
"176",0.19
"177",-0.33
"178",-0.25
"179",-0.68
"180",-0.03
"181",-0.29
"182",0.69
"183",-0.57
"184",-0.26
"185",0
"186",0.17
"187",0.17
"188",0.33
"189",0.12
"190",-0.24
"191",-0.39
"192",-0.63
"193",0.02
"194",-0.68
"195",-0.2
"196",-0.13
"197",0.12
"198",0.28
"199",0.12
"200",-0.04
"201",-0.12
"202",-0.52
"203",-0.06
"204",-1.39
"205",-0.81
"206",-1.19
"207",0.19
"208",0.05
"209",-0.25
"210",-0.21
"211",0.22
"212",0.06
"213",-0.53
"214",-0.29
"215",-0.78
"216",-0.72
"217",-0.58
"218",-0.71
"219",-0.31
"220",-0.12
"221",0.12
"222",-0.03
"223",0.12
"224",0.11
"225",0.03
"226",-0.1
"227",-0.49
"228",-0.58
"229",-0.19
"230",-0.25
"231",-0.37
"232",-0.61
