t,x
1,1157
2,1088
3,1169
4,1169
5,984
6,1322
7,1178
8,1103
9,1211
10,1292
11,1124
12,1171
13,1133
14,1227
15,1142
16,1216
17,1259
18,1299
19,1232
20,1117
21,1155
22,1232
23,1083
24,1020
25,1394
26,1196
27,1148
28,1083
29,1189
30,1133
31,1034
32,1157
33,1034
34,1097
35,1299
36,1157
37,1130
38,1155
39,1349
40,1232
41,1103
42,1103
43,1083
44,1027
45,1166
46,1148
47,1250
48,1155
49,1047
50,1054
51,1018
52,1189
53,1126
54,1250
55,1297
56,1178
57,1043
58,1103
59,1250
60,1272
61,1169
62,1004
63,1083
64,1164
65,1124
66,1027
67,995
68,1169
69,1270
70,1011
71,1247
72,1101
73,1004
74,1004
75,1065
76,1223
77,1184
78,1216
79,1180
80,1142
81,1277
82,1206
83,1076
84,1076
85,1189
86,1121
87,1178
88,1031
89,1076
90,1178
91,1209
92,1022
93,1220
94,1070
95,1126
96,1058
97,1216
98,1358
99,1184
100,1083
101,1097
102,1119
103,1097
104,1097
105,1153
106,1153
107,1151
108,1151
109,1151
110,1184
111,1097
112,1043
113,1043
114,1002
115,1152
116,1097
117,1034
118,1002
119,989
120,1092
121,1115
122,1115
123,1047
124,1040
125,1038
126,1085
127,1126
128,1058
129,1067
130,1115
131,1263
132,1124
133,1110
134,1097
135,1097
136,1157
137,1000
138,991
139,995
140,1013
141,1007
142,971
143,971
144,980
145,993
146,1043
147,1097
148,982
149,971
150,971
151,1065
152,1022
153,1029
154,989
155,1029
156,995
157,982
158,1090
159,980
160,971
161,957
162,989
163,966
164,989
165,1022
166,1074
167,1110
168,1110
169,1061
170,1151
171,1128
172,1074
173,1043
174,1034
175,1074
176,966
177,1027
178,1029
179,1034
180,1065
181,989
182,1034
183,1002
184,1128
185,1178
186,1097
187,1142
188,1466
189,1097
190,1137
191,1097
192,1259
193,1313
194,1173
195,1169
196,1173
197,1088
198,1191
199,1146
200,1160
201,1142
202,1128
203,1169
204,1162
205,1115
206,1164
207,1088
208,1079
209,1083
210,1043
211,1110
212,1092
213,1110
214,1047
215,1076
216,1110
217,1043
218,1103
219,1034
220,1074
221,1052
222,1011
223,1097
224,1092
225,1110
226,1115
227,1097
228,1196
229,1115
230,1162
231,1151
232,1142
233,1126
234,1108
235,1187
236,1191
237,1153
238,1254
239,1187
240,1196
241,1331
242,1412
243,1349
244,1290
245,1211
246,1232
247,1166
248,1124
249,1146
250,1079
251,1108
252,1097
253,1106
254,1072
255,1065
256,1128
257,1340
258,959
259,959
260,1137
261,1133
262,1137
263,1151
264,1117
265,1157
266,1157
267,1133
268,1110
269,1155
270,1189
271,1260
272,1189
273,1151
274,1097
275,1209
276,1130
277,1295
278,1308
279,1250
280,1205
281,1310
282,1250
283,1155
284,1101
285,1100
286,1103
287,1121
288,1121
289,1097
290,1106
291,1259
292,1261
293,1124
294,1196
295,1205
296,1205
297,1119
298,1088
299,1250
300,1094
301,1198
302,1121
303,1164
304,1211
305,1153
306,1146
307,1126
308,1288
309,1175
310,1171
311,1081
312,1133
313,1164
314,1155
315,1155
316,1155
317,1160
318,1094
319,1054
320,1067
321,1044
322,948
323,1099
324,1016
325,1065
326,1067
327,1072
328,1076
329,1081
330,1196
331,1196
332,1151
333,1088
334,1128
335,1151
336,1236
337,1216
338,1288
339,1297
340,1182
341,1306
342,1043
343,1184
344,1054
345,1169
346,1043
347,980
348,1072
349,1189
350,1151
351,1142
352,1193
353,1151
354,1097
355,1144
356,1097
357,1094
358,1153
359,1108
360,935
361,1081
362,1081
363,1097
364,1146
365,1250
366,1151
367,1043
368,1043
369,1043
370,1070
371,1124
372,1137
373,1146
374,1099
375,1054
376,1045
377,1070
378,1142
379,1074
380,1101
381,1220
382,1196
383,1097
384,1207
385,1119
386,1160
387,1151
388,1025
389,1097
390,1137
391,1007
392,1034
393,1043
394,1043
395,980
396,1079
397,1169
398,1250
399,1324
400,1209
401,1142
402,1061
403,1000
404,1088
405,1128
406,1142
407,1259
408,1142
409,1148
410,1088
411,1142
412,1119
413,1130
414,1088
415,1250
416,1137
417,1108
418,1110
419,1173
420,1173
421,1196
422,1189
423,1200
424,1351
425,1274
426,1227
427,1310
428,1148
429,1151
430,1151
431,1182
432,1182
433,1151
434,1133
435,1130
436,1151
437,1166
438,1070
439,1200
440,1074
441,1110
442,1292
443,1178
444,1128
445,1097
446,1304
447,1103
448,1259
449,1119
450,1119
451,1119
452,1081
453,1196
454,1085
455,1101
456,1103
457,1146
458,1211
459,1169
460,1144
461,1191
462,1189
463,1182
464,1243
465,1243
466,1227
467,1189
468,1191
469,1155
470,1209
471,1218
472,1211
473,1209
474,1164
475,1135
476,1121
477,1137
478,1254
479,1457
480,1299
481,1277
482,1277
483,1178
484,1270
485,1313
486,1333
487,1270
488,1245
489,1245
490,1211
491,1265
492,1346
493,1346
494,1290
495,1295
496,1286
497,1259
498,1254
499,1421
500,1268
501,1263
502,1335
503,1313
504,1265
505,1319
506,1351
507,1277
508,1317
509,1268
510,1263
511,1112
512,1207
513,1292
