t,x
1,4858
2,5020
3,562
4,726
5,466
6,516
7,832
8,470
9,600
10,4076
11,5986
12,670
13,726
14,3978
15,6190
16,450
17,762
18,742
19,446
20,580
21,644
22,446
23,644
24,696
25,502
26,568
27,640
28,7128
29,2748
30,692
31,664
32,830
33,3630
34,10290
35,5132
36,438
37,796
38,466
39,568
40,6978
41,5982
42,6246
43,618
44,6738
45,2684
46,5974
47,7876
48,8004
49,5650
50,5820
51,5256
52,134
53,2356
54,308
55,198
56,302
57,302
58,220
59,1258
60,5748
61,2374
62,170
63,426
64,588
65,308
66,1368
67,232
68,194
69,102
70,232
71,130
72,102
73,232
74,130
75,228
76,114
77,592
78,248
79,1380
80,308
81,198
82,309
83,308
84,470
85,438
86,568
87,628
88,470
89,600
90,568
91,466
92,676
93,568
94,5916
95,4000
96,568
97,466
98,808
99,502
100,632
101,628
102,664
103,1196
104,832
105,713
106,2056
107,7756
108,672
109,648
110,900
111,2041
112,7480
113,696
114,9248
115,790
116,694
117,644
118,644
119,9038
120,802
121,534
122,672
123,2466
124,7552
125,734
126,2426
127,7318
128,9156
129,8836
130,806
131,6510
132,2922
133,660
134,374
135,130
136,4462
137,4658
138,272
139,168
140,232
141,608
142,232
143,6320
144,3000
145,512
146,232
147,4684
148,4076
149,402
150,4688
151,7140
152,5642
153,8642
154,770
155,296
156,1518
157,244
158,8662
159,264
160,450
161,198
162,110
163,390
164,300
165,110
166,244
167,8958
168,422
169,1498
170,194
171,236
172,3138
173,5724
174,588
175,778
176,568
177,628
178,5888
179,7694
180,5204
181,630
182,628
183,406
184,2118
185,7578
186,1038
187,524
188,754
189,4780
190,4796
191,750
192,632
193,446
194,9108
195,636
196,612
197,466
198,9148
199,822
200,9010
201,8028
202,1522
203,8994
204,2772
205,1082
206,1860
207,434
208,1004
209,568
210,1620
211,10442
212,6590
213,894
214,568
215,6344
216,9532
217,4984
218,9316
219,10822
220,12380
221,11200
222,6258
223,7332
224,11488
225,7191
226,8544
227,1208
228,650
229,110
230,588
231,270
232,7862
233,1600
234,366
235,308
236,7764
237,1238
238,252
239,236
240,6202
241,2558
242,398
243,8722
244,102
245,462
246,266
247,232
248,166
249,232
250,194
251,8630
252,130
253,360
254,166
255,228
256,130
257,98
258,244
259,134
260,114
261,244
262,134
263,174
264,3514
265,4560
266,1200
267,352
268,200
269,244
270,102
271,296
272,356
273,422
274,394
275,130
276,102
277,360
278,258
279,102
280,296
281,258
282,232
283,178
284,267
285,312
286,110
287,244
288,198
289,146
290,308
291,134
292,110
293,272
294,130
295,166
296,292
297,194
298,296
299,102
300,232
301,322
302,166
303,296
304,194
305,102
306,232
307,130
308,232
309,102
310,5746
311,3559
312,102
313,362
314,764
