t,H=0.9,H=0.8,H=0.7
0,1,1,1
0.001,1.000019181,1.000418487,0.999046881
0.002,0.999911904,1.000388177,0.998823862
0.003,0.999927129,1.000655004,0.99871041
0.004,0.999849815,1.000853001,0.999411391
0.005,0.999762697,1.001239113,1.000281377
0.006,0.999694754,1.001399676,1.001245865
0.007,0.999569633,1.001535647,1.000940089
0.008,0.999540805,1.00134846,1.001765717
0.009,0.99953025,1.000675568,1.001826928
0.01,0.999370155,1.000123094,1.001051969
0.011,0.999020003,0.999577583,1.001053843
0.012,0.998896664,0.999519523,1.001369723
0.013,0.99875546,0.999076,1.002472844
0.014,0.998690182,0.998466241,1.002199962
0.015,0.998586075,0.998323369,1.001739832
0.016,0.998356824,0.998360769,1.000356605
0.017,0.998050346,0.998771616,1.00099986
0.018,0.997611999,0.998348235,1.001838273
0.019,0.997472176,0.998053515,1.002423228
0.02,0.997329625,0.99794171,1.002653998
0.021,0.997135535,0.997424126,1.003696763
0.022,0.997067234,0.997600341,1.002832395
0.023,0.997201624,0.997570206,1.002627677
0.024,0.99699396,0.99773456,1.001977759
0.025,0.996808391,0.997609543,1.002908064
0.026,0.996694969,0.997659353,1.003855443
0.027,0.996522902,0.997603348,1.004121596
0.028,0.996355007,0.997389662,1.005130639
0.029,0.996364805,0.996965532,1.006477954
0.03,0.996351009,0.996418626,1.00710664
0.031,0.996312934,0.995819344,1.006905968
0.032,0.996108536,0.995973831,1.006337186
0.033,0.995872612,0.995943493,1.006061113
0.034,0.995613294,0.995978832,1.005668339
0.035,0.995311734,0.995911871,1.005344774
0.036,0.99506554,0.995641045,1.004623666
0.037,0.994883405,0.995023833,1.003454967
0.038,0.994946451,0.994684151,1.003800387
0.039,0.995022987,0.994233406,1.00326208
0.04,0.994903397,0.994441941,1.00341043
0.041,0.994627572,0.99441099,1.003954326
0.042,0.99440914,0.994711321,1.003476678
0.043,0.994331595,0.995109369,1.004715105
0.044,0.994351839,0.995385592,1.004179187
0.045,0.994243227,0.994987569,1.004791053
0.046,0.994092087,0.994873043,1.00571853
0.047,0.994047771,0.994813389,1.005304139
0.048,0.994206487,0.994924121,1.005295219
0.049,0.994441335,0.994922019,1.004465723
0.05,0.994424441,0.995092375,1.00454007
0.051,0.994495337,0.995407323,1.005412464
0.052,0.994362861,0.995502189,1.005986142
0.053,0.99431372,0.995851332,1.006127778
0.054,0.994095004,0.996027401,1.006040543
0.055,0.99394589,0.996042725,1.005850868
0.056,0.993937618,0.995628502,1.005470545
0.057,0.993894394,0.99541099,1.005098771
0.058,0.993757867,0.994815423,1.005133973
0.059,0.993623075,0.994597698,1.0054706
0.06,0.99366384,0.994542242,1.005177082
