"t","x"
"1",170
"2",169
"3",157
"4",139
"5",136
"6",149
"7",131
"8",100
"9",92
"10",94
"11",108
"12",125
"13",119
"14",94
"15",90
"16",101
"17",135
"18",121
"19",95
"20",85
"21",81
"22",103
"23",133
"24",154
"25",170
"26",173
"27",178
"28",171
"29",178
"30",193
"31",194
"32",195
"33",173
"34",180
"35",153
"36",145
"37",198
"38",207
"39",193
"40",155
"41",131
"42",118
"43",120
"44",145
"45",144
"46",120
"47",121
"48",117
"49",103
"50",96
"51",89
"52",80
"53",87
"54",81
"55",89
"56",101
"57",113
"58",118
"59",122
"60",113
"61",119
"62",103
"63",85
"64",69
"65",73
"66",69
"67",72
"68",58
"69",43
"70",41
"71",51
"72",70
"73",73
"74",83
"75",76
"76",64
"77",79
"78",88
"79",91
"80",101
"81",94
"82",94
"83",109
"84",110
"85",119
"86",130
"87",122
"88",120
"89",102
"90",84
"91",79
"92",83
"93",96
"94",79
"95",66
"96",68
"97",77
"98",78
"99",68
"100",57
"101",59
"102",58
"103",58
"104",58
"105",70
"106",84
"107",75
"108",70
"109",70
"110",68
"111",68
"112",64
"113",60
"114",56
"115",52
"116",54
"117",61
"118",74
"119",77
"120",77
"121",78
"122",72
"123",66
"124",61
"125",56
"126",56
"127",74
"128",96
"129",101
"130",107
"131",106
"132",122
"133",118
"134",104
"135",106
"136",103
"137",107
"138",103
"139",88
"140",82
"141",78
"142",62
"143",62
"144",65
"145",59
"146",53
"147",54
"148",52
"149",52
"150",49
"151",41
"152",41
"153",42
"154",39
"155",41
"156",51
"157",60
"158",54
"159",46
"160",50
"161",70
"162",115
"163",158
"164",161
"165",172
"166",123
"167",111
"168",134
"169",135
"170",153
"171",132
"172",112
"173",136
"174",146
"175",159
"176",138
"177",112
"178",92
"179",94
"180",115
"181",127
"182",132
"183",125
"184",126
"185",160
"186",218
"187",268
"188",253
"189",216
"190",172
"191",161
"192",163
"193",164
"194",215
"195",217
"196",196
"197",170
"198",176
"199",160
"200",154
"201",185
"202",205
"203",196
"204",186
"205",174
"206",223
"207",278
"208",281
"209",252
"210",227
"211",247
"212",279
"213",289
"214",250
"215",220
"216",239
"217",267
"218",291
"219",289
"220",296
"221",271
"222",236
"223",216
"224",215
"225",268
"226",267
"227",280
"228",265
"229",273
"230",222
"231",172
"232",146
"233",169
"234",199
"235",213
"236",209
"237",169
"238",137
"239",142
"240",132
"241",133
"242",171
"243",177
"244",175
"245",189
"246",229
"247",218
"248",170
"249",183
"250",224
"251",251
"252",198
"253",161
"254",188
"255",216
"256",185
"257",151
"258",115
"259",97
"260",98
"261",96
"262",121
"263",132
"264",154
"265",167
"266",174
"267",153
"268",144
"269",130
"270",116
"271",109
"272",119
"273",116
"274",126
"275",108
"276",94
"277",78
"278",70
"279",68
"280",78
"281",83
"282",81
"283",85
"284",92
"285",68
"286",55
"287",56
"288",57
"289",63
"290",64
"291",68
"292",83
"293",79
"294",79
"295",74
"296",69
"297",58
"298",58
"299",50
"300",45
"301",49
"302",68
"303",79
"304",89
"305",100
"306",103
"307",90
"308",85
"309",62
"310",61
"311",60
"312",51
"313",59
"314",56
"315",55
"316",56
"317",69
"318",82
"319",88
"320",79
"321",60
"322",60
"323",66
"324",66
"325",55
"326",47
"327",68
"328",68
"329",63
"330",55
"331",50
"332",62
"333",81
"334",71
"335",61
"336",49
"337",57
"338",58
"339",53
"340",59
"341",50
"342",40
"343",38
"344",38
"345",44
"346",52
"347",56
"348",66
"349",59
"350",60
"351",57
"352",64
"353",57
"354",49
"355",49
"356",46
"357",38
"358",41
"359",45
"360",32
"361",42
"362",47
"363",45
"364",41
"365",44
"366",60
"367",118
"368",161
"369",186
"370",191
"371",215
"372",242
"373",226
"374",215
"375",248
"376",225
"377",212
"378",198
"379",218
"380",265
"381",284
"382",296
"383",288
"384",266
"385",241
"386",165
"387",171
"388",148
"389",145
"390",129
"391",138
"392",153
"393",147
"394",121
"395",113
"396",107
"397",125
"398",125
"399",125
"400",121
"401",121
"402",122
"403",133
"404",144
"405",137
"406",104
"407",74
"408",68
"409",78
"410",68
"411",58
"412",65
"413",58
"414",68
"415",81
"416",65
"417",62
"418",73
"419",64
"420",61
"421",54
"422",60
"423",59
"424",76
"425",81
"426",78
"427",81
"428",72
"429",72
"430",57
"431",68
"432",62
"433",50
"434",49
"435",63
"436",62
"437",61
"438",76
"439",99
"440",95
"441",119
"442",103
"443",99
"444",109
"445",120
"446",118
"447",102
"448",77
"449",75
"450",62
"451",54
"452",51
"453",46
"454",49
"455",56
"456",70
"457",78
"458",91
"459",110
"460",114
"461",101
"462",101
"463",97
"464",113
"465",128
"466",136
"467",159
"468",209
"469",203
"470",169
"471",156
"472",133
"473",114
"474",98
"475",85
"476",82
"477",109
"478",107
"479",87
"480",74
"481",71
"482",63
"483",66
"484",81
"485",97
"486",103
"487",107
"488",97
"489",89
"490",77
"491",87
"492",71
"493",58
"494",62
"495",79
"496",91
"497",96
"498",77
"499",76
"500",85
"501",83
"502",97
"503",128
"504",130
"505",118
"506",120
"507",136
"508",136
"509",110
"510",88
"511",71
"512",68
"513",79
"514",81
"515",75
"516",66
"517",59
"518",68
"519",78
"520",78
"521",75
"522",98
"523",87
"524",77
"525",68
"526",62
"527",58
"528",61
"529",80
"530",95
"531",98
"532",125
"533",115
"534",99
"535",93
"536",97
"537",109
"538",114
"539",137
"540",133
"541",131
"542",127
"543",113
"544",110
"545",109
"546",97
"547",101
"548",83
"549",82
"550",73
"551",82
"552",92
"553",89
"554",79
"555",83
"556",108
"557",109
"558",145
"559",185
"560",188
"561",210
"562",237
"563",255
"564",292
"565",334
"566",331
"567",342
"568",368
"569",372
"570",342
"571",375
"572",328
"573",272
"574",253
"575",232
"576",278
"577",312
"578",349
"579",388
"580",389
"581",370
"582",324
"583",231
"584",215
"585",207
"586",221
"587",222
"588",194
"589",173
"590",171
"591",157
"592",141
"593",131
"594",127
"595",121
"596",128
"597",107
"598",94
"599",110
"600",184
"601",267
"602",307
"603",302
"604",250
"605",255
"606",266
"607",285
"608",285
"609",222
"610",166
"611",173
"612",198
"613",195
"614",153
"615",160
"616",166
"617",134
"618",119
"619",104
"620",94
"621",95
"622",114
"623",122
"624",158
"625",123
"626",98
"627",83
"628",79
"629",64
"630",69
"631",88
"632",90
"633",119
"634",158
"635",197
"636",225
"637",241
"638",270
"639",298
"640",274
"641",215
"642",183
"643",165
"644",175
"645",216
"646",227
"647",264
"648",231
"649",246
"650",277
"651",274
"652",236
"653",187
"654",174
"655",163
"656",136
"657",99
"658",85
"659",81
"660",108
"661",112
"662",113
"663",99
"664",107
"665",130
"666",146
"667",164
"668",153
"669",159
"670",172
"671",182
"672",174
"673",172
"674",179
"675",179
"676",186
"677",156
"678",140
"679",129
"680",139
"681",126
"682",112
"683",167
"684",115
"685",127
"686",141
"687",133
"688",140
"689",99
"690",102
"691",103
"692",89
"693",91
"694",76
"695",70
"696",61
"697",69
"698",64
"699",83
"700",89
"701",98
"702",89
"703",92
"704",81
"705",69
"706",59
"707",57
"708",69
"709",78
"710",65
"711",68
"712",66
"713",65
"714",61
"715",66
"716",68
"717",93
"718",118
"719",145
"720",183
"721",195
"722",230
"723",251
"724",281
"725",290
"726",283
"727",301
"728",303
"729",278
"730",254
"731",240
"732",217
"733",216
"734",193
"735",178
"736",169
"737",182
"738",187
"739",189
"740",180
"741",163
"742",142
"743",118
"744",96
"745",81
"746",76
"747",78
"748",76
"749",68
"750",74
"751",90
"752",107
"753",98
"754",99
"755",92
"756",96
"757",96
"758",115
"759",116
"760",118
"761",117
"762",120
"763",107
"764",103
"765",102
"766",114
"767",100
"768",70
"769",62
"770",53
"771",58
"772",65
"773",73
"774",70
"775",73
"776",77
"777",68
"778",58
"779",54
"780",60
"781",68
"782",65
"783",58
"784",51
"785",40
"786",52
"787",58
"788",68
"789",82
"790",112
"791",104
"792",104
"793",102
"794",103
"795",84
"796",76
"797",80
"798",94
"799",97
"800",106
"801",90
"802",93
"803",95
"804",110
"805",126
"806",128
"807",128
"808",132
"809",127
"810",120
"811",108
"812",101
"813",110
"814",91
"815",83
"816",91
"817",73
"818",62
"819",73
"820",82
"821",95
"822",89
"823",87
"824",91
"825",81
"826",92
"827",157
"828",178
"829",168
"830",159
"831",138
"832",121
"833",98
"834",87
"835",103
"836",137
"837",146
"838",115
"839",100
"840",87
"841",81
"842",98
"843",98
"844",92
"845",64
"846",64
"847",62
"848",50
"849",60
"850",51
"851",52
"852",66
"853",76
"854",69
"855",82
"856",92
"857",106
"858",97
"859",98
"860",91
"861",62
"862",78
"863",88
"864",91
"865",94
"866",90
"867",93
"868",100
"869",95
"870",94
"871",89
"872",82
"873",74
"874",70
"875",63
"876",64
"877",56
"878",54
"879",49
"880",52
"881",78
"882",71
"883",62
"884",89
"885",80
"886",60
"887",72
"888",72
"889",66
"890",62
"891",54
"892",72
"893",95
"894",134
"895",158
"896",186
"897",188
"898",163
"899",155
"900",136
"901",84
"902",77
"903",92
"904",103
"905",126
"906",145
"907",173
"908",193
"909",205
"910",223
"911",217
"912",203
"913",187
"914",153
"915",171
"916",184
"917",150
"918",137
"919",100
"920",76
"921",82
"922",132
"923",175
"924",193
"925",209
"926",211
"927",190
"928",165
"929",128
"930",78
"931",68
"932",100
"933",148
"934",178
"935",192
"936",193
"937",202
"938",198
"939",176
"940",169
"941",133
"942",119
"943",92
"944",80
"945",79
"946",115
"947",165
"948",197
"949",189
"950",161
"951",134
"952",93
"953",84
"954",85
"955",99
"956",102
"957",121
"958",149
"959",167
"960",185
"961",179
"962",174
"963",187
"964",179
"965",170
"966",133
"967",107
"968",89
"969",64
"970",63
"971",98
"972",104
"973",104
"974",91
"975",78
"976",66
"977",65
"978",63
"979",74
"980",80
"981",97
"982",121
"983",126
"984",114
"985",103
"986",114
"987",134
"988",122
"989",106
"990",99
"991",102
"992",101
"993",101
"994",97
"995",85
"996",76
"997",63
"998",83
"999",133
"1000",144
