,Date,SPX,Value
0,1990/1/3,-1.2004103843579155,-0.26644546
1,1990/1/4,-1.203941722826206,-0.26648533
2,1990/1/5,-1.2079073359281376,-0.26652515
3,1990/1/8,-1.2060902394347455,-0.2666446
4,1990/1/9,-1.210855832124963,-0.26668438
5,1990/1/10,-1.2134957647663065,-0.2667242
6,1990/1/11,-1.2121015146267224,-0.26676396
7,1990/1/12,-1.2219298352828065,-0.26680374
8,1990/1/15,-1.2252783212737748,-0.26692295
9,1990/1/16,-1.2209927163365288,-0.26696268
10,1990/1/17,-1.2248211900804684,-0.26700237
11,1990/1/18,-1.2239183559736886,-0.26704207
12,1990/1/19,-1.2228212411097537,-0.2670818
13,1990/1/22,-1.2328438425229928,-0.26720074
14,1990/1/23,-1.231438164103576,-0.26724035
15,1990/1/24,-1.232980981880985,-0.26727998
16,1990/1/25,-1.237758002851035,-0.26731962
17,1990/1/26,-1.2380779946863494,-0.2673592
18,1990/1/29,-1.2387636914763087,-0.26747793
19,1990/1/30,-1.2413007695991585,-0.2675175
20,1990/1/31,-1.2343295189012384,-0.26755705
21,1990/2/1,-1.2346609390163854,-0.2675966
22,1990/2/2,-1.2322267154120294,-0.26763612
23,1990/2/5,-1.2311638853875926,-0.2677546
24,1990/2/6,-1.233666678670944,-0.26779413
25,1990/2/7,-1.2289925122193879,-0.26783353
26,1990/2/8,-1.2298953463261677,-0.26787302
27,1990/2/9,-1.2291410798572127,-0.26791248
28,1990/2/12,-1.2331866909179727,-0.26803076
29,1990/2/13,-1.232112432613703,-0.26807016
30,1990/2/14,-1.2309810329102702,-0.26810953
31,1990/2/15,-1.2276896883184654,-0.2681489
32,1990/2/16,-1.2301696250421514,-0.2681883
33,1990/2/20,-1.2355752014029977,-0.26834565
34,1990/2/21,-1.2359409063576428,-0.26838496
35,1990/2/22,-1.2381922774846759,-0.26842424
36,1990/2/23,-1.2399636608587377,-0.26846352
37,1990/2/26,-1.234798078374377,-0.26858136
38,1990/2/27,-1.232980981880985,-0.2686206
39,1990/2/28,-1.231118172268262,-0.2686598
40,1990/3/1,-1.2301467684824863,-0.26869905
41,1990/3/2,-1.2269468501293426,-0.26873824
42,1990/3/5,-1.2290039404992206,-0.2688558
43,1990/3/6,-1.2242154912493377,-0.26889497
44,1990/3/7,-1.225335462672938,-0.26893413
45,1990/3/8,-1.2215412737684963,-0.2689733
46,1990/3/9,-1.2242154912493377,-0.26901245
