,Date,SPX,0,1,2,3,4,5,6,7,8,9
0,2010/1/4,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106
1,2010/1/5,-1.59188,-1.5778517,-1.645179,-1.6315342,-1.5849797,-1.5691414,-1.6394073,-1.608641,-1.6000633,-1.5439389,-1.613889
2,2010/1/6,-1.590442,-1.5618924,-1.64517,-1.625146,-1.5673906,-1.5967715,-1.6168187,-1.6325271,-1.5694814,-1.6284101,-1.6009719
3,2010/1/7,-1.5798892,-1.5457361,-1.5544524,-1.57137,-1.5450027,-1.6036708,-1.6582204,-1.6251881,-1.5839418,-1.6177032,-1.5598651
4,2010/1/8,-1.5723246,-1.5399951,-1.5175545,-1.5748833,-1.5869002,-1.5860757,-1.6517682,-1.643529,-1.5721244,-1.5928599,-1.5398102
5,2010/1/11,-1.5677227,-1.5419014,-1.5991049,-1.5188906,-1.6028403,-1.5962888,-1.6210979,-1.6655247,-1.6009665,-1.6037478,-1.5282081
6,2010/1/12,-1.5925761,-1.5394843,-1.6351749,-1.5216852,-1.64754,-1.5757223,-1.6508368,-1.6588638,-1.5799062,-1.64825,-1.5635452
7,2010/1/13,-1.570713,-1.5066828,-1.6308123,-1.4728733,-1.6475226,-1.5646515,-1.7015023,-1.6566908,-1.5864438,-1.62103,-1.6153368
8,2010/1/14,-1.5643225,-1.5018616,-1.6697866,-1.4415275,-1.6754266,-1.5988836,-1.7222285,-1.6579031,-1.5740312,-1.6010259,-1.5622413
9,2010/1/15,-1.5930171,-1.4959129,-1.6592709,-1.3863223,-1.6424928,-1.5519699,-1.6969312,-1.6455929,-1.5453508,-1.5882238,-1.563623
10,2010/1/19,-1.5602616,-1.4847248,-1.6513568,-1.3110971,-1.6067905,-1.5549264,-1.7025448,-1.664167,-1.6032237,-1.5198915,-1.5397685
11,2010/1/20,-1.5883558,-1.45906,-1.6517487,-1.2400336,-1.6055661,-1.5147291,-1.7259635,-1.597992,-1.6304567,-1.4822255,-1.5957782
12,2010/1/21,-1.6387898,-1.5252901,-1.5729922,-1.2955642,-1.5896882,-1.4855947,-1.7298459,-1.6190116,-1.6384145,-1.4928763,-1.5746142
13,2010/1/22,-1.6978283,-1.5511649,-1.5338554,-1.3584077,-1.5428545,-1.462099,-1.7456342,-1.6081818,-1.7420058,-1.4929571,-1.6005981
14,2010/1/25,-1.6857076,-1.4757682,-1.5137191,-1.3392999,-1.5706575,-1.4368539,-1.7454814,-1.562612,-1.7646518,-1.4880838,-1.638441
15,2010/1/26,-1.6968383,-1.4718235,-1.4703388,-1.3413653,-1.5527337,-1.4174495,-1.7678024,-1.565088,-1.7459737,-1.4661666,-1.5465811
16,2010/1/27,-1.6840012,-1.4314135,-1.4693019,-1.3453104,-1.5324414,-1.4168801,-1.720107,-1.6331942,-1.7116897,-1.4676833,-1.5152893
17,2010/1/28,-1.7153485,-1.4563258,-1.4441078,-1.2864985,-1.5020632,-1.4326546,-1.7313808,-1.6074648,-1.7539189,-1.4699135,-1.5553256
18,2010/1/29,-1.7413946,-1.4280552,-1.3328421,-1.2846177,-1.4749188,-1.4150685,-1.6885241,-1.6373456,-1.7548733,-1.4574347,-1.4685663
19,2010/2/1,-1.7040427,-1.465598,-1.307436,-1.2817893,-1.4760365,-1.4247682,-1.6535892,-1.6197455,-1.712595,-1.4620098,-1.4787942
20,2010/2/2,-1.670055,-1.507292,-1.3335907,-1.2587104,-1.4545944,-1.4535065,-1.6451651,-1.698619,-1.689975,-1.408642,-1.4542663
21,2010/2/3,-1.6845298,-1.4683114,-1.3596418,-1.166518,-1.4846324,-1.4638121,-1.7283729,-1.7128335,-1.65203,-1.3957014,-1.4444648
22,2010/2/4,-1.7679486,-1.4410851,-1.3527026,-1.1493891,-1.4420975,-1.4941456,-1.7556758,-1.7260858,-1.6851228,-1.4185107,-1.4668953
23,2010/2/5,-1.7603203,-1.4407979,-1.3539147,-1.1858578,-1.4557313,-1.4893767,-1.7059189,-1.7209954,-1.679699,-1.4364138,-1.499762
24,2010/2/8,-1.7837958,-1.4556487,-1.3621336,-1.1771692,-1.4894829,-1.5182108,-1.7223723,-1.6880186,-1.6192801,-1.4491841,-1.4789554
25,2010/2/9,-1.7496333,-1.4273195,-1.3842175,-1.1527733,-1.4900668,-1.4749275,-1.7717052,-1.7255697,-1.6734631,-1.4725345,-1.4435494
26,2010/2/10,-1.7555021,-1.4033818,-1.3485154,-1.1538182,-1.4831171,-1.4959685,-1.72099,-1.721511,-1.670133,-1.4670058,-1.5008895
27,2010/2/11,-1.7301236,-1.3765154,-1.3771325,-1.1049271,-1.4452034,-1.4858487,-1.7208471,-1.7497149,-1.7200353,-1.4324867,-1.5328708
28,2010/2/12,-1.7373707,-1.4515495,-1.4088466,-1.0880477,-1.4724448,-1.4231375,-1.7593766,-1.7550515,-1.7710676,-1.4364735,-1.5243535
29,2010/2/16,-1.6903276,-1.443471,-1.35592,-1.0523146,-1.5058299,-1.4090545,-1.818544,-1.7669743,-1.7840639,-1.480011,-1.5217674
