,Date,SPX,0,1,2,3,4,5,6,7,8,9
0,2010/1/4,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106
1,2010/1/5,-1.59188,-1.6129012,-1.6038495,-1.5991833,-1.6012225,-1.5894233,-1.5922685,-1.6008999,-1.6108861,-1.5823559,-1.606342
2,2010/1/6,-1.590442,-1.6256962,-1.6075928,-1.5982604,-1.6023388,-1.5787404,-1.5844307,-1.6016935,-1.6216658,-1.5646055,-1.6125777
3,2010/1/7,-1.5798892,-1.6384914,-1.6113362,-1.5973375,-1.6034551,-1.5680575,-1.5765932,-1.6024873,-1.6324458,-1.5468552,-1.6188135
4,2010/1/8,-1.5723246,-1.6512864,-1.6150795,-1.5964147,-1.6045715,-1.5573747,-1.5687554,-1.603281,-1.6432257,-1.5291048,-1.6250494
5,2010/1/11,-1.5677227,-1.6525781,-1.6391509,-1.5925043,-1.6101282,-1.5309852,-1.5558285,-1.6213162,-1.6574999,-1.5041655,-1.6532197
6,2010/1/12,-1.5925761,-1.6514723,-1.6477063,-1.5911533,-1.6120719,-1.5224231,-1.551958,-1.6279761,-1.6615096,-1.4970251,-1.6630019
7,2010/1/13,-1.570713,-1.6486772,-1.6542203,-1.5891099,-1.6165152,-1.5190483,-1.5456694,-1.6369888,-1.664966,-1.4942663,-1.670325
8,2010/1/14,-1.5643225,-1.6425564,-1.6567147,-1.5857031,-1.6258798,-1.5258864,-1.5346208,-1.6506332,-1.6673331,-1.5001343,-1.672807
9,2010/1/15,-1.5930171,-1.6364355,-1.6592088,-1.5822963,-1.6352441,-1.5327244,-1.523572,-1.6642776,-1.6697001,-1.5060023,-1.6752889
10,2010/1/19,-1.5602616,-1.6110194,-1.6755807,-1.5784447,-1.70488,-1.5461504,-1.5087005,-1.7080593,-1.6527194,-1.4908605,-1.6792681
11,2010/1/20,-1.5883558,-1.6044333,-1.6812639,-1.5799131,-1.7302914,-1.5460436,-1.5122752,-1.7163199,-1.6418966,-1.4774723,-1.6787837
12,2010/1/21,-1.6387898,-1.5978473,-1.6869473,-1.5813814,-1.7557027,-1.545937,-1.5158497,-1.7245806,-1.631074,-1.4640839,-1.6782992
13,2010/1/22,-1.6978283,-1.6007781,-1.684912,-1.5832402,-1.7686836,-1.5505254,-1.5165249,-1.7150911,-1.6231179,-1.4681152,-1.6727526
14,2010/1/25,-1.6857076,-1.6234007,-1.6675891,-1.5893843,-1.7895625,-1.571114,-1.5143367,-1.6608281,-1.603416,-1.5055228,-1.6487571
