,Date,SPX,0,1,2,3,4,5,6,7,8,9
0,2010/1/4,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106,-1.600106
1,2010/1/5,-1.59188,-1.601012,-1.6137975,-1.57668,-1.6306959,-1.5748858,-1.5987955,-1.5737772,-1.6105331,-1.5775129,-1.6221913
2,2010/1/6,-1.590442,-1.5910541,-1.6109526,-1.6042655,-1.6506797,-1.5719254,-1.6171712,-1.5898616,-1.6006175,-1.5781436,-1.6344204
3,2010/1/7,-1.5798892,-1.5777533,-1.6192913,-1.6049225,-1.662738,-1.5694468,-1.6190559,-1.6088326,-1.5919523,-1.5603268,-1.6382349
4,2010/1/8,-1.5723246,-1.5948286,-1.625768,-1.6094341,-1.669824,-1.5795786,-1.6167523,-1.6114471,-1.5941523,-1.5335153,-1.6450877
5,2010/1/11,-1.5677227,-1.5668187,-1.6199399,-1.6617831,-1.6409816,-1.6043773,-1.6456554,-1.609835,-1.5510507,-1.5378258,-1.6023226
6,2010/1/12,-1.5925761,-1.5729276,-1.6139671,-1.6642295,-1.60749,-1.6102145,-1.6407857,-1.6378609,-1.5298718,-1.5436411,-1.6256465
7,2010/1/13,-1.570713,-1.5822961,-1.624077,-1.6467589,-1.5950378,-1.6062928,-1.6260209,-1.6351284,-1.5021756,-1.546662,-1.6220193
8,2010/1/14,-1.5643225,-1.5768886,-1.6650525,-1.6516418,-1.6006204,-1.5892494,-1.6433693,-1.6416547,-1.4878514,-1.5481201,-1.6102395
9,2010/1/15,-1.5930171,-1.5654716,-1.6857226,-1.6559067,-1.589864,-1.5676733,-1.6663284,-1.6352787,-1.4694309,-1.5461414,-1.6025962
10,2010/1/19,-1.5602616,-1.5825243,-1.7149825,-1.6874529,-1.5923306,-1.5180125,-1.6737139,-1.5714681,-1.4736688,-1.561874,-1.5853108
11,2010/1/20,-1.5883558,-1.5673028,-1.713615,-1.7113115,-1.5964926,-1.4930108,-1.6749213,-1.564028,-1.4867268,-1.5634118,-1.5883982
12,2010/1/21,-1.6387898,-1.5507339,-1.7304986,-1.7017299,-1.6052307,-1.4671134,-1.6705207,-1.5769092,-1.4882213,-1.5654384,-1.5796702
13,2010/1/22,-1.6978283,-1.5517133,-1.7613778,-1.7227991,-1.5854096,-1.4617919,-1.6617087,-1.5815219,-1.4932896,-1.5709498,-1.5656894
14,2010/1/25,-1.6857076,-1.5643249,-1.814216,-1.7161733,-1.6149647,-1.4611808,-1.6962334,-1.5685542,-1.4909525,-1.5060023,-1.5675843
15,2010/1/26,-1.6968383,-1.5508116,-1.7967652,-1.7080189,-1.6316941,-1.465294,-1.7074231,-1.5720798,-1.4836302,-1.4942566,-1.5608853
16,2010/1/27,-1.6840012,-1.5082204,-1.7847695,-1.7031235,-1.6192851,-1.4578627,-1.7025576,-1.5814465,-1.4740322,-1.5011659,-1.5453589
17,2010/1/28,-1.7153485,-1.5151412,-1.7845958,-1.6924604,-1.6133366,-1.4519025,-1.7015114,-1.570783,-1.4603285,-1.5001858,-1.5406811
18,2010/1/29,-1.7413946,-1.4966962,-1.7878997,-1.7139243,-1.6210979,-1.4429845,-1.6851288,-1.5841112,-1.4549686,-1.494827,-1.5463557
19,2010/2/1,-1.7040427,-1.415237,-1.7944609,-1.6825466,-1.6018329,-1.3854226,-1.7410449,-1.5476716,-1.4621981,-1.5427237,-1.5440259
20,2010/2/2,-1.670055,-1.3985322,-1.7843885,-1.7086604,-1.6184984,-1.3749473,-1.7632887,-1.5295697,-1.4483163,-1.5461987,-1.5627217
21,2010/2/3,-1.6845298,-1.4057919,-1.7738148,-1.7442265,-1.6212633,-1.3646652,-1.7789189,-1.5276332,-1.4462122,-1.5627865,-1.567059
22,2010/2/4,-1.7679486,-1.4004166,-1.7743832,-1.7369307,-1.5918419,-1.3693172,-1.7633812,-1.5329216,-1.4580444,-1.5866435,-1.558667
23,2010/2/5,-1.7603203,-1.355152,-1.7886577,-1.7294105,-1.5819846,-1.3342865,-1.7348291,-1.5192835,-1.442312,-1.6235096,-1.5617762
24,2010/2/8,-1.7837958,-1.3310462,-1.7688345,-1.7311391,-1.5639944,-1.3406328,-1.7081139,-1.5162189,-1.4992051,-1.6171341,-1.5693944
25,2010/2/9,-1.7496333,-1.3140671,-1.7914208,-1.7410288,-1.5521489,-1.354244,-1.7044809,-1.5225189,-1.5270482,-1.6218885,-1.5521083
26,2010/2/10,-1.7555021,-1.296824,-1.812322,-1.741099,-1.5389112,-1.3671228,-1.7157228,-1.5285989,-1.5425425,-1.6178883,-1.5449529
27,2010/2/11,-1.7301236,-1.2835958,-1.8131328,-1.7347219,-1.5355846,-1.3857377,-1.7123429,-1.5459799,-1.5410231,-1.6395706,-1.5355073
28,2010/2/12,-1.7373707,-1.2877169,-1.8049564,-1.7088622,-1.5367198,-1.3926641,-1.7405044,-1.5420907,-1.5507224,-1.6512337,-1.540002
29,2010/2/16,-1.6903276,-1.2645391,-1.8328588,-1.6923327,-1.5077338,-1.4323809,-1.7471217,-1.5022207,-1.542152,-1.5631406,-1.4860514
30,2010/2/17,-1.6791764,-1.2601856,-1.84861,-1.7096114,-1.5237789,-1.4479823,-1.7765393,-1.5085002,-1.5633056,-1.5921115,-1.4904916
31,2010/2/18,-1.6618704,-1.2703252,-1.859682,-1.7058522,-1.5752901,-1.4530098,-1.7874501,-1.4982287,-1.5773197,-1.5690334,-1.4915048
32,2010/2/19,-1.6561109,-1.2857586,-1.8779196,-1.7052382,-1.5691669,-1.4528451,-1.7528696,-1.4817472,-1.5716361,-1.5521768,-1.4549676
33,2010/2/22,-1.6588463,-1.2338048,-1.8707005,-1.6852543,-1.524178,-1.5114202,-1.7712034,-1.4969932,-1.5602932,-1.5464346,-1.4959607
34,2010/2/23,-1.6909779,-1.2181805,-1.8699799,-1.6499351,-1.5237232,-1.5237496,-1.7975371,-1.5002434,-1.5801252,-1.5558532,-1.5064704
35,2010/2/24,-1.6654704,-1.1908339,-1.8708565,-1.642996,-1.5197136,-1.539322,-1.8046843,-1.5026631,-1.5701998,-1.5654323,-1.4792067
36,2010/2/25,-1.6709634,-1.1688939,-1.8677552,-1.6725863,-1.4988661,-1.578087,-1.8121631,-1.5286549,-1.5513301,-1.5755742,-1.486344
37,2010/2/26,-1.6672603,-1.1754812,-1.8947395,-1.6889676,-1.4936826,-1.5860535,-1.8100159,-1.5080377,-1.5519828,-1.5401038,-1.4799583
38,2010/3/1,-1.6406089,-1.1164788,-1.9943626,-1.7360779,-1.4344314,-1.6489989,-1.7864611,-1.5494143,-1.5332952,-1.5297278,-1.4794763
39,2010/3/2,-1.6344713,-1.1064396,-1.9955777,-1.7358799,-1.4296278,-1.6498857,-1.7608098,-1.5470537,-1.5315689,-1.5016387,-1.4843849
40,2010/3/3,-1.6333398,-1.0806446,-1.9964377,-1.7451221,-1.4399155,-1.6564378,-1.7558513,-1.5382025,-1.5719535,-1.4800533,-1.5101346
41,2010/3/4,-1.6235064,-1.0533876,-1.9757862,-1.7438788,-1.4626639,-1.6884918,-1.7325381,-1.5557146,-1.5980221,-1.4947147,-1.4685841
42,2010/3/5,-1.586827,-1.0766529,-1.987933,-1.7560878,-1.457194,-1.6980356,-1.7402173,-1.5478687,-1.5907575,-1.5057061,-1.4963217
43,2010/3/8,-1.587267,-1.0823764,-1.9753822,-1.7816032,-1.4668754,-1.6894327,-1.7216591,-1.5435791,-1.6377677,-1.4962132,-1.4635693
44,2010/3/9,-1.5827777,-1.0815737,-1.965396,-1.789892,-1.468127,-1.661584,-1.7048575,-1.5592049,-1.6750574,-1.479781,-1.4883296
45,2010/3/10,-1.5708741,-1.0673149,-1.9418947,-1.7787251,-1.4784112,-1.6638741,-1.6878929,-1.5679309,-1.7103372,-1.4934229,-1.4751658
46,2010/3/11,-1.5602387,-1.0618321,-1.9620229,-1.7547618,-1.4878101,-1.6418495,-1.6663622,-1.5780174,-1.7073239,-1.4998703,-1.4845017
47,2010/3/12,-1.5608119,-1.0497645,-1.9687268,-1.7651327,-1.4715493,-1.6235563,-1.6711296,-1.5780551,-1.710052,-1.5236933,-1.480432
