,Date,SX5E,0,1,2,3,4,5,6,7,8,9
0,2010/1/4,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752
1,2010/1/5,-0.36719173,-0.35785335,-0.35732353,-0.33968621,-0.34465075,-0.35636008,-0.341716,-0.357452,-0.35050094,-0.3459222,-0.34892422
2,2010/1/6,-0.38634035,-0.36601913,-0.36495948,-0.32968485,-0.3396139,-0.36303258,-0.3337444,-0.36521643,-0.3513143,-0.34215683,-0.34816086
3,2010/1/7,-0.28064087,-0.3741849,-0.3725955,-0.3196835,-0.33457714,-0.36970514,-0.32577288,-0.3729809,-0.35212773,-0.3383915,-0.34739757
4,2010/1/8,-0.25634304,-0.3823507,-0.38023144,-0.30968216,-0.3295403,-0.37637767,-0.31780133,-0.38074532,-0.35294113,-0.33462617,-0.3466342
5,2010/1/11,-0.2892406,-0.38340884,-0.3729729,-0.2857427,-0.28449112,-0.32593572,-0.24935544,-0.37284565,-0.37341142,-0.293174,-0.37882888
6,2010/1/12,-0.36129203,-0.38279065,-0.36930382,-0.27801406,-0.26823467,-0.30620328,-0.22469565,-0.36892036,-0.38098168,-0.27810752,-0.39098877
7,2010/1/13,-0.24741139,-0.37595215,-0.36697218,-0.27766746,-0.258367,-0.29265282,-0.19488668,-0.36361334,-0.38657933,-0.26808155,-0.3963864
8,2010/1/14,-0.22828764,-0.35686707,-0.3672736,-0.29185468,-0.2610777,-0.29127344,-0.15494002,-0.35558593,-0.3882934,-0.26797932,-0.38847047
9,2010/1/15,-0.25910217,-0.3377819,-0.367575,-0.3060419,-0.26378837,-0.28989404,-0.11499336,-0.34755847,-0.39000738,-0.26787707,-0.38055447
10,2010/1/19,-0.21555458,-0.2723584,-0.3632657,-0.31511062,-0.28944254,-0.3075528,0.0014602169,-0.3748712,-0.34865013,-0.28205326,-0.354521
