,Date,Value
0,2010/1/4,-2.7146778
1,2010/1/5,-2.711099
2,2010/1/6,-2.7075276
3,2010/1/7,-2.7039626
4,2010/1/8,-2.7004042
5,2010/1/11,-2.6897664
6,2010/1/12,-2.686234
7,2010/1/13,-2.6827078
8,2010/1/14,-2.6791883
9,2010/1/15,-2.675675
10,2010/1/19,-2.6616864
11,2010/1/20,-2.6582057
12,2010/1/21,-2.6547308
13,2010/1/22,-2.6512628
14,2010/1/25,-2.6408956
15,2010/1/26,-2.6374521
16,2010/1/27,-2.634016
17,2010/1/28,-2.6305857
18,2010/1/29,-2.6271613
19,2010/2/1,-2.6169262
20,2010/2/2,-2.6135268
21,2010/2/3,-2.6101336
22,2010/2/4,-2.6067462
23,2010/2/5,-2.6033652
24,2010/2/8,-2.5932589
25,2010/2/9,-2.5899024
26,2010/2/10,-2.5865517
27,2010/2/11,-2.5832076
28,2010/2/12,-2.5798688
29,2010/2/16,-2.5665746
30,2010/2/17,-2.5632663
31,2010/2/18,-2.5599635
32,2010/2/19,-2.5566669
33,2010/2/22,-2.5468118
34,2010/2/23,-2.5435386
35,2010/2/24,-2.5402684
36,2010/2/25,-2.5370064
37,2010/2/26,-2.53375
38,2010/3/1,-2.5240154
39,2010/3/2,-2.520782
40,2010/3/3,-2.5175543
41,2010/3/4,-2.5143318
42,2010/3/5,-2.511115
43,2010/3/8,-2.5014987
44,2010/3/9,-2.4983041
45,2010/3/10,-2.4951153
46,2010/3/11,-2.4919317
47,2010/3/12,-2.488754
48,2010/3/15,-2.479252
49,2010/3/16,-2.4760962
50,2010/3/17,-2.4729452
51,2010/3/18,-2.469799
52,2010/3/19,-2.4666588
53,2010/3/22,-2.4572737
54,2010/3/23,-2.4541547
55,2010/3/24,-2.4510417
56,2010/3/25,-2.4479332
57,2010/3/26,-2.4448302
58,2010/3/29,-2.4355524
59,2010/3/30,-2.4324698
60,2010/3/31,-2.4293926
61,2010/4/1,-2.4263206
62,2010/4/5,-2.4140823
63,2010/4/6,-2.411035
64,2010/4/7,-2.4079928
65,2010/4/8,-2.4049556
66,2010/4/9,-2.4019237
67,2010/4/12,-2.3928566
68,2010/4/13,-2.3898437
69,2010/4/14,-2.3868384
70,2010/4/15,-2.3838358
71,2010/4/16,-2.3808377
72,2010/4/19,-2.371873
73,2010/4/20,-2.3688936
74,2010/4/21,-2.3659196
75,2010/4/22,-2.36295
76,2010/4/23,-2.3599856
77,2010/4/26,-2.3511188
78,2010/4/27,-2.3481727
79,2010/4/28,-2.3452308
80,2010/4/29,-2.3422937
81,2010/4/30,-2.339361
82,2010/5/3,-2.3305907
83,2010/5/4,-2.3276758
84,2010/5/5,-2.3247657
85,2010/5/6,-2.3218598
86,2010/5/7,-2.3189588
87,2010/5/10,-2.3102849
88,2010/5/11,-2.3074017
89,2010/5/12,-2.3045225
90,2010/5/13,-2.3016477
91,2010/5/14,-2.298777
92,2010/5/17,-2.2901912
93,2010/5/18,-2.2873378
94,2010/5/19,-2.284489
95,2010/5/20,-2.2816436
96,2010/5/21,-2.278803
97,2010/5/24,-2.270306
98,2010/5/25,-2.2674813
99,2010/5/26,-2.2646613
100,2010/5/27,-2.261845
101,2010/5/28,-2.2590332
102,2010/6/1,-2.247826
103,2010/6/2,-2.2450342
104,2010/6/3,-2.2422466
105,2010/6/4,-2.2394626
106,2010/6/7,-2.2311335
107,2010/6/8,-2.2283654
108,2010/6/9,-2.2256007
109,2010/6/10,-2.2228405
110,2010/6/11,-2.2200837
111,2010/6/14,-2.2118366
112,2010/6/15,-2.2090955
113,2010/6/16,-2.2063577
114,2010/6/17,-2.2036238
115,2010/6/18,-2.2008934
116,2010/6/21,-2.1927254
117,2010/6/22,-2.19001
118,2010/6/23,-2.1872983
119,2010/6/24,-2.1845903
120,2010/6/25,-2.1818862
121,2010/6/28,-2.1737952
122,2010/6/29,-2.1711054
123,2010/6/30,-2.1684196
124,2010/7/1,-2.1657367
125,2010/7/2,-2.1630576
126,2010/7/6,-2.152372
127,2010/7/7,-2.1497097
128,2010/7/8,-2.1470513
129,2010/7/9,-2.144396
130,2010/7/12,-2.1364512
131,2010/7/13,-2.1338098
132,2010/7/14,-2.1311717
133,2010/7/15,-2.1285367
134,2010/7/16,-2.1259055
135,2010/7/19,-2.118031
136,2010/7/20,-2.115413
137,2010/7/21,-2.1127982
138,2010/7/22,-2.1101868
139,2010/7/23,-2.107578
