,Date,Value
0,2010/1/4,-0.00454811
1,2010/1/5,-0.008319713
2,2010/1/6,-0.008603461
3,2010/1/7,-0.01160232
4,2010/1/8,-0.011604734
5,2010/1/11,-0.011056729
6,2010/1/12,-0.011544339
7,2010/1/13,-0.010849334
8,2010/1/14,-0.0065652207
9,2010/1/15,-0.009018205
10,2010/1/19,-0.014714085
11,2010/1/20,-0.014497913
12,2010/1/21,-0.014674582
13,2010/1/22,-0.013362147
14,2010/1/25,-0.016825713
15,2010/1/26,-0.016459413
16,2010/1/27,-0.015641741
17,2010/1/28,-0.0155346915
18,2010/1/29,-0.014930166
19,2010/2/1,-0.013429411
20,2010/2/2,-0.012991436
21,2010/2/3,-0.012913741
22,2010/2/4,-0.010993265
23,2010/2/5,-0.010476254
24,2010/2/8,-0.010572769
25,2010/2/9,-0.010002084
26,2010/2/10,-0.010188736
27,2010/2/11,-0.0095764175
28,2010/2/12,-0.00903409
29,2010/2/16,-0.013864793
30,2010/2/17,-0.012092896
31,2010/2/18,-0.010737993
32,2010/2/19,-0.013611339
33,2010/2/22,-0.0034862235
34,2010/2/23,-0.0020799413
35,2010/2/24,-0.0013996437
36,2010/2/25,-0.0010928884
37,2010/2/26,-0.00056617707
38,2010/3/1,0.0013739094
39,2010/3/2,0.0020841882
40,2010/3/3,0.0025862828
41,2010/3/4,0.003895156
42,2010/3/5,0.0037187412
43,2010/3/8,1.0505319e-06
44,2010/3/9,-0.0012857541
45,2010/3/10,-0.0056732967
46,2010/3/11,-0.005324118
47,2010/3/12,-0.006282337
48,2010/3/15,0.0010308698
49,2010/3/16,0.005993791
50,2010/3/17,0.011432044
51,2010/3/18,0.014320947
52,2010/3/19,0.015289046
53,2010/3/22,0.023083828
54,2010/3/23,0.022253342
55,2010/3/24,0.021947287
56,2010/3/25,0.02269397
57,2010/3/26,0.025973655
58,2010/3/29,0.041102625
59,2010/3/30,0.041339897
60,2010/3/31,0.03891053
61,2010/4/1,0.04230272
62,2010/4/5,0.040007167
63,2010/4/6,0.040231057
64,2010/4/7,0.034132056
65,2010/4/8,0.037991084
66,2010/4/9,0.030143343
67,2010/4/12,0.03036607
68,2010/4/13,0.03555184
69,2010/4/14,0.041240208
70,2010/4/15,0.044940263
71,2010/4/16,0.037718385
72,2010/4/19,0.045413576
73,2010/4/20,0.047660686
74,2010/4/21,0.04579187
75,2010/4/22,0.039947204
76,2010/4/23,0.037286334
77,2010/4/26,0.03828413
78,2010/4/27,0.037927046
79,2010/4/28,0.026308455
80,2010/4/29,0.036647074
81,2010/4/30,0.045473404
82,2010/5/3,0.02789928
83,2010/5/4,0.023844413
84,2010/5/5,0.024536029
85,2010/5/6,0.021682404
86,2010/5/7,0.025517419
87,2010/5/10,-0.03374877
88,2010/5/11,-0.020113878
89,2010/5/12,-0.009911023
90,2010/5/13,-0.0020173267
91,2010/5/14,-0.020778574
92,2010/5/17,-0.04964245
93,2010/5/18,-0.058151476
94,2010/5/19,-0.05593968
95,2010/5/20,-0.041208245
96,2010/5/21,-0.031912558
97,2010/5/24,-0.031583615
98,2010/5/25,-0.034913264
99,2010/5/26,-0.035535075
100,2010/5/27,-0.03956019
101,2010/5/28,-0.038525976
102,2010/6/1,-0.08403405
103,2010/6/2,-0.10268556
104,2010/6/3,-0.10920411
105,2010/6/4,-0.12554188
106,2010/6/7,-0.07693306
107,2010/6/8,-0.080706365
108,2010/6/9,-0.09277082
109,2010/6/10,-0.0772314
110,2010/6/11,-0.08425554
111,2010/6/14,-0.0999163
112,2010/6/15,-0.0697054
113,2010/6/16,-0.0376217
114,2010/6/17,-0.056238495
115,2010/6/18,-0.060894035
116,2010/6/21,-0.07997393
117,2010/6/22,-0.10477618
118,2010/6/23,-0.07331708
119,2010/6/24,-0.07161442
120,2010/6/25,-0.06995128
121,2010/6/28,-0.036992364
122,2010/6/29,-0.0527056
123,2010/6/30,-0.039367102
124,2010/7/1,-0.05566451
125,2010/7/2,-0.058965556
126,2010/7/6,-0.111033835
127,2010/7/7,-0.14797887
128,2010/7/8,-0.15097031
129,2010/7/9,-0.18645665
130,2010/7/12,-0.23172012
131,2010/7/13,-0.24592802
132,2010/7/14,-0.2878806
133,2010/7/15,-0.31772187
134,2010/7/16,-0.28875494
135,2010/7/19,-0.30138487
136,2010/7/20,-0.3623334
137,2010/7/21,-0.36345205
138,2010/7/22,-0.33915707
139,2010/7/23,-0.37706813
140,2010/7/26,-0.44022802
141,2010/7/27,-0.46551406
142,2010/7/28,-0.41499853
143,2010/7/29,-0.4289095
144,2010/7/30,-0.4103149
145,2010/8/2,-0.48053515
146,2010/8/3,-0.55715156
147,2010/8/4,-0.52663434
148,2010/8/5,-0.433386
149,2010/8/6,-0.36554864
150,2010/8/9,-0.29853234
151,2010/8/10,-0.29098496
152,2010/8/11,-0.27065504
153,2010/8/12,-0.3264283
154,2010/8/13,-0.27543893
155,2010/8/16,-0.313197
156,2010/8/17,-0.28313133
157,2010/8/18,-0.32636964
158,2010/8/19,-0.3243227
159,2010/8/20,-0.34155315
160,2010/8/23,-0.34347636
161,2010/8/24,-0.36177832
162,2010/8/25,-0.38414183
