,Date,Value
0,2000/1/3,-0.21739021
1,2000/1/4,-0.21739021
2,2000/1/5,-0.21739021
3,2000/1/6,-0.21739021
4,2000/1/7,-0.21739021
5,2000/1/10,-0.21739021
6,2000/1/11,-0.21739021
7,2000/1/12,-0.21739021
8,2000/1/13,-0.21739021
9,2000/1/14,-0.21739021
10,2000/1/18,-0.21739021
11,2000/1/19,-0.21535455
12,2000/1/20,-0.21535455
13,2000/1/21,-0.21535455
14,2000/1/24,-0.21535455
15,2000/1/25,-0.21535455
16,2000/1/26,-0.21535455
17,2000/1/27,-0.21535455
18,2000/1/28,-0.21535455
19,2000/1/31,-0.21535455
20,2000/2/1,-0.21535455
21,2000/2/2,-0.21535455
22,2000/2/3,-0.21460283
23,2000/2/4,-0.21460283
24,2000/2/7,-0.21460283
25,2000/2/8,-0.21460283
26,2000/2/9,-0.21460283
27,2000/2/10,-0.21460283
28,2000/2/11,-0.21460283
29,2000/2/14,-0.21460283
30,2000/2/15,-0.21460283
31,2000/2/16,-0.21460283
32,2000/2/17,-0.21460283
33,2000/2/18,-0.21460283
34,2000/2/22,-0.2031188
35,2000/2/23,-0.2031188
36,2000/2/24,-0.2031188
37,2000/2/25,-0.2031188
38,2000/2/28,-0.2031188
39,2000/2/29,-0.2031188
40,2000/3/1,-0.2031188
41,2000/3/2,-0.2031188
42,2000/3/3,-0.2031188
43,2000/3/6,-0.19992003
44,2000/3/7,-0.19992003
45,2000/3/8,-0.19992003
46,2000/3/9,-0.19992003
47,2000/3/10,-0.19992003
48,2000/3/13,-0.19992003
49,2000/3/14,-0.19992003
50,2000/3/15,-0.19992003
51,2000/3/16,-0.19992003
52,2000/3/17,-0.19992003
53,2000/3/20,-0.2075263
54,2000/3/21,-0.2075263
55,2000/3/22,-0.2075263
56,2000/3/23,-0.2075263
57,2000/3/24,-0.2075263
58,2000/3/27,-0.2075263
59,2000/3/28,-0.2075263
60,2000/3/29,-0.2075263
61,2000/3/30,-0.2075263
62,2000/3/31,-0.2075263
63,2000/4/3,-0.2075263
64,2000/4/4,-0.2075263
65,2000/4/5,-0.2014162
66,2000/4/6,-0.2014162
67,2000/4/7,-0.2014162
68,2000/4/10,-0.2014162
69,2000/4/11,-0.2014162
70,2000/4/12,-0.2014162
71,2000/4/13,-0.2014162
72,2000/4/14,-0.2014162
73,2000/4/17,-0.2014162
74,2000/4/18,-0.2014162
75,2000/4/19,-0.2014162
76,2000/4/20,-0.20164722
77,2000/4/24,-0.20164722
78,2000/4/25,-0.20164722
79,2000/4/26,-0.20164722
80,2000/4/27,-0.20164722
81,2000/4/28,-0.20164722
82,2000/5/1,-0.20164722
83,2000/5/2,-0.20164722
84,2000/5/3,-0.20164722
85,2000/5/4,-0.20164722
86,2000/5/5,-0.1912922
87,2000/5/8,-0.1912922
88,2000/5/9,-0.1912922
89,2000/5/10,-0.1912922
90,2000/5/11,-0.1912922
91,2000/5/12,-0.1912922
92,2000/5/15,-0.1912922
93,2000/5/16,-0.1912922
94,2000/5/17,-0.1912922
95,2000/5/18,-0.1912922
96,2000/5/19,-0.1912922
97,2000/5/22,-0.1993403
98,2000/5/23,-0.1993403
99,2000/5/24,-0.1993403
100,2000/5/25,-0.1993403
101,2000/5/26,-0.1993403
102,2000/5/30,-0.1993403
103,2000/5/31,-0.1993403
104,2000/6/1,-0.1993403
105,2000/6/2,-0.1993403
106,2000/6/5,-0.1953044
107,2000/6/6,-0.1953044
108,2000/6/7,-0.1953044
109,2000/6/8,-0.1953044
110,2000/6/9,-0.1953044
111,2000/6/12,-0.1953044
112,2000/6/13,-0.1953044
113,2000/6/14,-0.1953044
114,2000/6/15,-0.1953044
115,2000/6/16,-0.1953044
116,2000/6/19,-0.1953044
117,2000/6/20,-0.19358027
118,2000/6/21,-0.19358027
119,2000/6/22,-0.19358027
120,2000/6/23,-0.19358027
121,2000/6/26,-0.19358027
122,2000/6/27,-0.19358027
123,2000/6/28,-0.19358027
124,2000/6/29,-0.19358027
125,2000/6/30,-0.19358027
126,2000/7/3,-0.19358027
127,2000/7/5,-0.19358027
128,2000/7/6,-0.1965859
129,2000/7/7,-0.1965859
130,2000/7/10,-0.1965859
131,2000/7/11,-0.1965859
132,2000/7/12,-0.1965859
133,2000/7/13,-0.1965859
134,2000/7/14,-0.1965859
135,2000/7/17,-0.1965859
136,2000/7/18,-0.1965859
137,2000/7/19,-0.1965859
138,2000/7/20,-0.1965859
139,2000/7/21,-0.19586249
140,2000/7/24,-0.19586249
141,2000/7/25,-0.19586249
142,2000/7/26,-0.19586249
143,2000/7/27,-0.19586249
144,2000/7/28,-0.19586249
145,2000/7/31,-0.19586249
146,2000/8/1,-0.19586249
147,2000/8/2,-0.19586249
148,2000/8/3,-0.19586249
149,2000/8/4,-0.19586249
150,2000/8/7,-0.19535147
151,2000/8/8,-0.19535147
152,2000/8/9,-0.19535147
153,2000/8/10,-0.19535147
154,2000/8/11,-0.19535147
155,2000/8/14,-0.19535147
156,2000/8/15,-0.19535147
157,2000/8/16,-0.19535147
158,2000/8/17,-0.19535147
159,2000/8/18,-0.19535147
160,2000/8/21,-0.20650204
161,2000/8/22,-0.20650204
162,2000/8/23,-0.20650204
163,2000/8/24,-0.20650204
164,2000/8/25,-0.20650204
165,2000/8/28,-0.20650204
166,2000/8/29,-0.20650204
167,2000/8/30,-0.20650204
168,2000/8/31,-0.20650204
169,2000/9/1,-0.20650204
170,2000/9/5,-0.20233847
171,2000/9/6,-0.20233847
172,2000/9/7,-0.20233847
173,2000/9/8,-0.20233847
174,2000/9/11,-0.20233847
175,2000/9/12,-0.20233847
176,2000/9/13,-0.20233847
177,2000/9/14,-0.20233847
178,2000/9/15,-0.20233847
179,2000/9/18,-0.20233847
180,2000/9/19,-0.20233847
181,2000/9/20,-0.1891595
182,2000/9/21,-0.1891595
183,2000/9/22,-0.1891595
184,2000/9/25,-0.1891595
185,2000/9/26,-0.1891595
186,2000/9/27,-0.1891595
187,2000/9/28,-0.1891595
188,2000/9/29,-0.1891595
189,2000/10/2,-0.1891595
190,2000/10/3,-0.1891595
191,2000/10/4,-0.1891595
192,2000/10/5,-0.1891595
193,2000/10/6,-0.17259471
194,2000/10/9,-0.17259471
195,2000/10/10,-0.17259471
196,2000/10/11,-0.17259471
197,2000/10/12,-0.17259471
198,2000/10/13,-0.17259471
199,2000/10/16,-0.17259471
200,2000/10/17,-0.17259471
201,2000/10/18,-0.17259471
202,2000/10/19,-0.17259471
203,2000/10/20,-0.17259471
204,2000/10/23,-0.17049144
205,2000/10/24,-0.17049144
206,2000/10/25,-0.17049144
207,2000/10/26,-0.17049144
208,2000/10/27,-0.17049144
209,2000/10/30,-0.17049144
210,2000/10/31,-0.17049144
211,2000/11/1,-0.17049144
212,2000/11/2,-0.17049144
213,2000/11/3,-0.17049144
214,2000/11/6,-0.17018864
215,2000/11/7,-0.17018864
216,2000/11/8,-0.17018864
217,2000/11/9,-0.17018864
218,2000/11/10,-0.17018864
219,2000/11/13,-0.17018864
220,2000/11/14,-0.17018864
221,2000/11/15,-0.17018864
222,2000/11/16,-0.17018864
223,2000/11/17,-0.17018864
224,2000/11/20,-0.17018864
225,2000/11/21,-0.1647612
226,2000/11/22,-0.1647612
227,2000/11/24,-0.1647612
228,2000/11/27,-0.1647612
229,2000/11/28,-0.1647612
230,2000/11/29,-0.1647612
231,2000/11/30,-0.1647612
232,2000/12/1,-0.1647612
233,2000/12/4,-0.1647612
234,2000/12/5,-0.1647612
235,2000/12/6,-0.16642149
236,2000/12/7,-0.16642149
237,2000/12/8,-0.16642149
238,2000/12/11,-0.16642149
239,2000/12/12,-0.16642149
240,2000/12/13,-0.16642149
241,2000/12/14,-0.16642149
242,2000/12/15,-0.16642149
243,2000/12/18,-0.16642149
244,2000/12/19,-0.16642149
245,2000/12/20,-0.16642149
246,2000/12/21,-0.1683229
247,2000/12/22,-0.1683229
248,2000/12/26,-0.1683229
249,2000/12/27,-0.1683229
250,2000/12/28,-0.1683229
251,2000/12/29,-0.1683229
252,2001/1/2,-0.1683229
253,2001/1/3,-0.1683229
254,2001/1/4,-0.1683229
255,2001/1/5,-0.1683229
256,2001/1/8,-0.17900346
257,2001/1/9,-0.17900346
258,2001/1/10,-0.17900346
259,2001/1/11,-0.17900346
260,2001/1/12,-0.17900346
261,2001/1/16,-0.17900346
262,2001/1/17,-0.17900346
263,2001/1/18,-0.17900346
264,2001/1/19,-0.17900346
265,2001/1/22,-0.18279617
266,2001/1/23,-0.18279617
267,2001/1/24,-0.18279617
268,2001/1/25,-0.18279617
269,2001/1/26,-0.18279617
270,2001/1/29,-0.18279617
271,2001/1/30,-0.18279617
272,2001/1/31,-0.18279617
273,2001/2/1,-0.18279617
274,2001/2/2,-0.18279617
275,2001/2/5,-0.18165758
276,2001/2/6,-0.18165758
277,2001/2/7,-0.18165758
278,2001/2/8,-0.18165758
279,2001/2/9,-0.18165758
280,2001/2/12,-0.18165758
281,2001/2/13,-0.18165758
282,2001/2/14,-0.18165758
283,2001/2/15,-0.18165758
284,2001/2/16,-0.18165758
285,2001/2/20,-0.18165758
286,2001/2/21,-0.1803206
287,2001/2/22,-0.1803206
288,2001/2/23,-0.1803206
289,2001/2/26,-0.1803206
290,2001/2/27,-0.1803206
291,2001/2/28,-0.1803206
292,2001/3/1,-0.1803206
293,2001/3/2,-0.1803206
294,2001/3/5,-0.1803206
295,2001/3/6,-0.1803206
296,2001/3/7,-0.1803206
297,2001/3/8,-0.18218839
298,2001/3/9,-0.18218839
299,2001/3/12,-0.18218839
300,2001/3/13,-0.18218839
301,2001/3/14,-0.18218839
302,2001/3/15,-0.18218839
303,2001/3/16,-0.18218839
304,2001/3/19,-0.18218839
305,2001/3/20,-0.18218839
306,2001/3/21,-0.18218839
307,2001/3/22,-0.18218839
308,2001/3/23,-0.18769693
309,2001/3/26,-0.18769693
310,2001/3/27,-0.18769693
