,Date,TPX,0,1,2,3,4,5,6,7,8,9
0,2010/1/4,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668
1,2010/1/5,-0.9172914,-0.89628106,-0.8591995,-0.8923124,-0.866088,-0.87400895,-0.8338117,-0.875441,-0.87425494,-0.91477454,-0.8735428
2,2010/1/6,-0.90014267,-0.86510265,-0.87777543,-0.8811248,-0.86452836,-0.87146735,-0.832755,-0.852694,-0.8364063,-0.89186805,-0.89006114
3,2010/1/7,-0.91221845,-0.84755135,-0.90101045,-0.91032755,-0.84359586,-0.8344436,-0.86127675,-0.83688855,-0.8166642,-0.8728261,-0.9077136
4,2010/1/8,-0.90196127,-0.8302881,-0.9369405,-0.92525655,-0.832715,-0.8095083,-0.8773028,-0.8073735,-0.815038,-0.8903428,-0.9102518
5,2010/1/11,-0.96646637,-0.7845656,-0.9794887,-0.8969671,-0.80673414,-0.8614409,-0.83347124,-0.802204,-0.8281431,-0.8467418,-0.8973034
6,2010/1/12,-0.990746,-0.773891,-1.0173492,-0.9026545,-0.824782,-0.87111306,-0.77739316,-0.80216414,-0.8318933,-0.8631243,-0.8965554
7,2010/1/13,-1.0151727,-0.7671678,-1.0359609,-0.9106232,-0.84976727,-0.86097497,-0.7572517,-0.81295913,-0.8519706,-0.8621537,-0.87205786
8,2010/1/14,-0.98441726,-0.72507346,-1.0458981,-0.9103997,-0.83213025,-0.8419994,-0.7572224,-0.84033006,-0.84143996,-0.85179985,-0.8529718
9,2010/1/15,-0.97820425,-0.72411054,-1.0555882,-0.9098177,-0.82975703,-0.8116147,-0.76478094,-0.86289203,-0.8522278,-0.8458257,-0.8429247
10,2010/1/19,-1.0009044,-0.74361885,-0.94895285,-0.9146052,-0.8373242,-0.82680416,-0.72215694,-0.87726384,-0.92146826,-0.8929052,-0.8283784
11,2010/1/20,-0.93677723,-0.7309978,-0.94428575,-0.9046195,-0.82939756,-0.8420446,-0.72876394,-0.89096224,-0.9266151,-0.877852,-0.82400405
12,2010/1/21,-0.9644054,-0.7354675,-0.9580353,-0.89830106,-0.8151367,-0.8427502,-0.73748803,-0.8743534,-0.92186624,-0.86666757,-0.83608216
13,2010/1/22,-1.0210723,-0.7280279,-0.97127384,-0.89724,-0.8010799,-0.8370175,-0.7324484,-0.87912554,-0.9009894,-0.87935454,-0.8160555
14,2010/1/25,-1.0264224,-0.7312167,-1.0060858,-0.84691805,-0.83709675,-0.7974114,-0.66629773,-0.93700755,-0.88165563,-0.8691482,-0.81539947
15,2010/1/26,-1.0302393,-0.744358,-1.0205253,-0.8230573,-0.8398437,-0.80455613,-0.64310944,-0.89419466,-0.88962436,-0.8788736,-0.84055763
16,2010/1/27,-1.0020158,-0.7236051,-1.0160652,-0.79691297,-0.8683277,-0.819516,-0.6206172,-0.87720644,-0.89850205,-0.89601254,-0.8546194
17,2010/1/28,-1.0022937,-0.7112175,-1.0449207,-0.7983856,-0.8679635,-0.8393974,-0.64735454,-0.8480523,-0.91081226,-0.8872737,-0.8588495
18,2010/1/29,-0.96512663,-0.6905081,-1.0696061,-0.8198431,-0.8840376,-0.8505629,-0.63391733,-0.8551446,-0.9099281,-0.87127167,-0.85363966
19,2010/2/1,-1.061078,-0.67244446,-1.0428108,-0.8189934,-0.8498599,-0.84033597,-0.7095663,-0.8571924,-0.9328678,-0.8889704,-0.84504294
20,2010/2/2,-1.131983,-0.66044265,-1.0420052,-0.8307692,-0.8297257,-0.84421164,-0.71039605,-0.87514627,-0.9387703,-0.90437835,-0.83271694
21,2010/2/3,-1.1277926,-0.6749163,-1.0315576,-0.8295512,-0.8611563,-0.8727041,-0.7219703,-0.8631496,-0.9327629,-0.91788495,-0.83604527
22,2010/2/4,-1.1067772,-0.6997824,-1.0475446,-0.8135521,-0.88106924,-0.9196002,-0.7410583,-0.8746584,-0.93067646,-0.91801715,-0.82982576
23,2010/2/5,-1.1563652,-0.7234641,-1.0669181,-0.77247584,-0.88050026,-0.9417046,-0.7488194,-0.8868568,-0.9505928,-0.9447765,-0.83522636
24,2010/2/8,-1.2354336,-0.7331683,-1.041074,-0.76878786,-0.8924442,-0.91121995,-0.7625452,-0.9679687,-0.94140613,-0.93340313,-0.84440047
25,2010/2/9,-1.2631241,-0.72671115,-1.0430752,-0.75478417,-0.90585124,-0.92673266,-0.75296646,-0.96538365,-0.95896757,-0.9354398,-0.8528397
26,2010/2/10,-1.2467961,-0.74451977,-1.0396404,-0.748423,-0.94819784,-0.940463,-0.7481301,-0.9231392,-0.94101065,-0.9468436,-0.8404996
27,2010/2/11,-1.1945727,-0.7372115,-1.0318187,-0.75650495,-0.95495504,-0.9509928,-0.74682045,-0.9121448,-0.93185824,-0.96670014,-0.8530624
28,2010/2/12,-1.1875792,-0.7225642,-1.0406079,-0.70016545,-0.9502436,-0.9567561,-0.7535274,-0.9250863,-0.9514561,-0.9915309,-0.8787037
29,2010/2/16,-1.1501435,-0.7389139,-1.0619152,-0.66137254,-0.9691278,-0.96591127,-0.7954156,-1.0033121,-1.0408932,-1.0049136,-0.8887994
30,2010/2/17,-1.1371925,-0.74229246,-1.0241736,-0.6914682,-0.99918556,-0.9721397,-0.7787121,-0.99517554,-1.0303558,-1.0174682,-0.89062595
31,2010/2/18,-1.1628541,-0.7449125,-1.0510362,-0.6969583,-0.99503654,-0.99275,-0.76880306,-0.99557936,-1.0516253,-1.0031921,-0.8905389
32,2010/2/19,-1.1273955,-0.6930926,-1.051666,-0.67807776,-1.0213791,-1.0247536,-0.7685106,-0.96897745,-1.0548433,-1.015078,-0.900692
33,2010/2/22,-1.1388221,-0.6574368,-1.1108316,-0.6311559,-1.0631245,-1.0683123,-0.77874887,-0.9520387,-1.0729557,-0.9676143,-0.8869539
34,2010/2/23,-1.1213008,-0.6428595,-1.1013608,-0.6083397,-1.0886396,-1.0573944,-0.7903153,-0.9578168,-1.0499203,-0.96132696,-0.89856553
35,2010/2/24,-1.093854,-0.6345715,-1.1231308,-0.60404265,-1.1154029,-1.0321934,-0.8274965,-0.95136505,-1.057988,-0.94833094,-0.8880933
36,2010/2/25,-1.0929608,-0.6401803,-1.1822081,-0.5842508,-1.1340216,-1.0379802,-0.83754,-0.94348454,-1.0352383,-0.9448765,-0.90948164
37,2010/2/26,-1.1112281,-0.63770413,-1.1430119,-0.61655253,-1.1502962,-1.0484974,-0.8733821,-0.93213487,-1.0334812,-0.9693629,-0.92415565
38,2010/3/1,-1.1349123,-0.6504148,-1.1012145,-0.5683392,-1.1597433,-1.0402118,-0.872982,-1.0184244,-1.0215497,-1.0827912,-0.93464345
39,2010/3/2,-1.1036222,-0.6540181,-1.1087449,-0.58908993,-1.1653113,-1.0284519,-0.8619839,-1.0151829,-1.0400211,-1.0998833,-0.952304
40,2010/3/3,-1.1586968,-0.6828823,-1.084769,-0.61231524,-1.1846071,-1.0056198,-0.82765794,-0.9972528,-1.0577887,-1.0784476,-0.96963304
41,2010/3/4,-1.1831331,-0.6552601,-1.0951447,-0.6091313,-1.1896893,-1.0366375,-0.8145603,-0.984001,-1.0545368,-1.115073,-0.97012377
42,2010/3/5,-1.2072359,-0.63864946,-1.076385,-0.61837393,-1.1851442,-1.0427582,-0.8057422,-0.9882521,-1.0686704,-1.1323804,-1.0073426
43,2010/3/8,-1.1616502,-0.5899345,-1.1059872,-0.60585266,-1.1812425,-1.0093883,-0.7922451,-0.9598689,-1.11107,-1.1059899,-1.0529021
44,2010/3/9,-1.2136046,-0.5926112,-1.104781,-0.5931655,-1.1902242,-0.99245626,-0.778323,-0.96219695,-1.095899,-1.1143143,-1.0763236
45,2010/3/10,-1.2109002,-0.58180535,-1.1298075,-0.59559005,-1.1873571,-0.98730195,-0.79373324,-0.94204307,-1.1549193,-1.1562233,-1.060919
46,2010/3/11,-1.2343516,-0.60943073,-1.1675986,-0.6263292,-1.174597,-1.011085,-0.7897393,-0.94607675,-1.1428905,-1.1832699,-1.102264
47,2010/3/12,-1.237897,-0.6243668,-1.167282,-0.64427435,-1.1509385,-1.0217991,-0.7889872,-0.9893628,-1.1270484,-1.181927,-1.0743963
48,2010/3/15,-1.2503926,-0.6092384,-1.2141082,-0.5978877,-1.1461846,-0.97565055,-0.7358569,-1.0264301,-1.1246425,-1.1789527,-1.1279266
49,2010/3/16,-1.2437648,-0.5923683,-1.2151123,-0.60324883,-1.1426618,-0.9633736,-0.7386882,-1.0184864,-1.152431,-1.1640153,-1.1446263
50,2010/3/17,-1.2443259,-0.6155688,-1.2274529,-0.58737093,-1.1355128,-0.9982102,-0.7459718,-1.0253974,-1.152164,-1.1423538,-1.1568702
51,2010/3/18,-1.2615441,-0.6175989,-1.2320967,-0.62171274,-1.1289026,-1.0079784,-0.7333069,-1.0497541,-1.1529201,-1.1530846,-1.1681485
52,2010/3/19,-1.2649308,-0.6246556,-1.2791687,-0.6252354,-1.1280365,-1.0147758,-0.74469686,-1.0562587,-1.1585053,-1.1702032,-1.1752822
53,2010/3/22,-1.2890408,-0.68019766,-1.3013637,-0.6319465,-1.1391333,-0.957397,-0.787685,-1.0468202,-1.1611285,-1.2064823,-1.2017158
54,2010/3/23,-1.3020387,-0.68688613,-1.2928721,-0.6651605,-1.1193238,-0.9449251,-0.7736317,-1.0187907,-1.1654754,-1.2020528,-1.2147282
55,2010/3/24,-1.3285747,-0.70378727,-1.3225774,-0.6639251,-1.0998422,-0.9452699,-0.7699483,-1.0052292,-1.1866255,-1.2190576,-1.2143068
56,2010/3/25,-1.3763367,-0.6998473,-1.304783,-0.6382144,-1.0931076,-0.89280933,-0.7528793,-0.99517745,-1.1873794,-1.2079346,-1.2292345
57,2010/3/26,-1.3724432,-0.7186015,-1.299298,-0.6303589,-1.0807151,-0.8562185,-0.7270602,-1.01561,-1.162301,-1.2238628,-1.2364328
58,2010/3/29,-1.4095808,-0.7611485,-1.2928061,-0.6575989,-1.0481646,-0.84876007,-0.6808249,-0.9832055,-1.1871251,-1.3232323,-1.3226362
59,2010/3/30,-1.3936018,-0.7644484,-1.2875425,-0.6435344,-1.0082767,-0.8534316,-0.66936004,-0.99207574,-1.1945848,-1.3559356,-1.3362203
60,2010/3/31,-1.408243,-0.7724332,-1.3141078,-0.620219,-1.0177044,-0.8601882,-0.62971056,-0.9878647,-1.1851248,-1.3709029,-1.3359287
61,2010/4/1,-1.4820485,-0.75198555,-1.3174925,-0.6085453,-1.0471709,-0.8685872,-0.62944573,-0.99313307,-1.2074308,-1.4120605,-1.3167584
62,2010/4/5,-1.3676605,-0.7188314,-1.3485664,-0.61636364,-1.0129604,-0.82082564,-0.62017506,-1.0170404,-1.2030509,-1.3976663,-1.3320849
63,2010/4/6,-1.2991458,-0.6983219,-1.3801293,-0.63385427,-1.0245783,-0.81755733,-0.6561954,-1.0230055,-1.200981,-1.3970042,-1.3260275
64,2010/4/7,-1.2954193,-0.6837096,-1.3950946,-0.6616319,-1.0354843,-0.8035949,-0.6746656,-1.0251272,-1.1965725,-1.3922141,-1.3160185
65,2010/4/8,-1.185925,-0.684206,-1.4160174,-0.6750465,-1.0546331,-0.7804867,-0.6811404,-1.0235348,-1.2056032,-1.3773713,-1.3226981
66,2010/4/9,-1.1802703,-0.6703706,-1.4251204,-0.6791661,-1.0605328,-0.77654,-0.681582,-1.0287191,-1.2239594,-1.3708661,-1.3427198
67,2010/4/12,-1.1461475,-0.59312934,-1.4093297,-0.7021709,-1.0262063,-0.71914315,-0.68143576,-1.0422045,-1.2050574,-1.431234,-1.3275416
68,2010/4/13,-1.1542535,-0.6210174,-1.3987622,-0.7052766,-1.0274405,-0.7078883,-0.6476251,-1.0642514,-1.2124914,-1.4279749,-1.3331555
69,2010/4/14,-1.1973374,-0.6386296,-1.3820096,-0.6865088,-1.0597085,-0.7193577,-0.65979826,-1.072067,-1.2188202,-1.4375157,-1.3463016
70,2010/4/15,-1.2383078,-0.62523955,-1.3744912,-0.6924501,-1.074868,-0.7144104,-0.6635631,-1.0815189,-1.2214161,-1.4513111,-1.3340333
71,2010/4/16,-1.1839778,-0.6353462,-1.3971725,-0.7137995,-1.049845,-0.7109953,-0.6703226,-1.0700991,-1.2093378,-1.432155,-1.3150973
72,2010/4/19,-1.1968212,-0.66474986,-1.4180398,-0.674839,-1.0312363,-0.7381227,-0.6741921,-1.0780838,-1.1574998,-1.4080733,-1.2717065
73,2010/4/20,-1.1984808,-0.676101,-1.4055207,-0.6346008,-0.97350264,-0.7443958,-0.6635432,-1.0727248,-1.1138134,-1.3850784,-1.2601373
74,2010/4/21,-1.1484718,-0.6959983,-1.3974565,-0.6123819,-0.945034,-0.76937073,-0.6738882,-1.0831952,-1.0992544,-1.3961662,-1.2519758
