,Date,fOU_H0.9,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531
1,0.001,1.4589595,1.4717948,1.4492834,1.460942,1.4607555,1.4716766,1.4530126,1.4432352,1.4462553,1.4507668,1.4400634,1.4551674,1.445014,1.4629548,1.4401281,1.4500608,1.4666861,1.451412,1.4371796,1.4293427,1.4433347,1.4417039,1.4332504,1.4289645,1.4629054,1.4558849,1.425616,1.4534831,1.4459966,1.4421659,1.4457152,1.4512726,1.440876,1.4238918,1.4407796,1.449061,1.4247983,1.4298474,1.4530576,1.4524688,1.4495167,1.4517833,1.4718354,1.4700621,1.4738526,1.4766086,1.4376867,1.4417287,1.4657992,1.4435511,1.4310381,1.4350665,1.4445834,1.4500632,1.445453,1.4440879,1.4342039,1.457156,1.4167207,1.4457976,1.4498212,1.4484348,1.4116031,1.4521995,1.4584194,1.463736,1.4621197,1.4418747,1.4436564,1.4654343,1.4404906,1.4679447,1.4542918,1.4359797,1.4251707,1.4277743,1.4450098,1.4491105,1.4210557,1.4563136,1.4500047,1.4755191,1.4562697,1.432518,1.4365375,1.4402416,1.4608241,1.4446696,1.451619,1.4444427,1.4527261,1.4256035,1.4765842,1.4449078,1.4304304,1.4398378,1.4479861,1.442366,1.4412758,1.4227989,1.4421394
2,0.002,1.4544495,1.4842992,1.4464937,1.4550006,1.4459507,1.4797543,1.4408478,1.4366457,1.4383787,1.423687,1.433421,1.4443445,1.4446193,1.4475752,1.4345099,1.4496478,1.4713562,1.444878,1.4119618,1.3952351,1.4174626,1.4315634,1.4038006,1.3999124,1.4724408,1.4500998,1.4040135,1.4622595,1.4361123,1.4243937,1.4390856,1.4310039,1.4259635,1.3900799,1.4224954,1.4437003,1.396577,1.4047786,1.4462503,1.450335,1.4301673,1.4468596,1.4884554,1.4694525,1.4937713,1.500411,1.4141763,1.4418099,1.4635755,1.4312847,1.4146293,1.4086623,1.4245951,1.4418406,1.4427707,1.4310046,1.4194717,1.4481039,1.3796506,1.432524,1.4386743,1.4546013,1.3758855,1.4495488,1.4568721,1.4660802,1.4769567,1.4226166,1.4229075,1.4610807,1.418668,1.4821348,1.4578321,1.4152976,1.402487,1.4020017,1.4461504,1.4478617,1.4117435,1.4541326,1.452186,1.498214,1.4333394,1.4095087,1.4143575,1.4280585,1.457608,1.4294562,1.4462041,1.4322078,1.4430045,1.3801484,1.4851905,1.4417119,1.4126537,1.4068627,1.4282054,1.4269735,1.4334377,1.392035,1.4196115
3,0.003,1.4550897,1.482758,1.4393508,1.4553236,1.4507166,1.4918861,1.4375496,1.4412817,1.4407735,1.4158535,1.4366565,1.4319744,1.4324725,1.4257411,1.4241195,1.4235113,1.4733078,1.4451838,1.3786536,1.3763655,1.4072661,1.419195,1.3831064,1.3836275,1.4708016,1.4322994,1.3694483,1.4645284,1.4274107,1.3925334,1.4435773,1.4193705,1.4184841,1.3833259,1.388188,1.4202281,1.3844303,1.3778635,1.4305393,1.437975,1.4249945,1.4492809,1.5034773,1.471421,1.5112824,1.5048658,1.3806252,1.4390386,1.4471714,1.4217902,1.3993391,1.3828276,1.40799,1.4564948,1.4515598,1.41504,1.404549,1.4311033,1.3603184,1.4354118,1.4272285,1.4460675,1.3336052,1.4314786,1.4532372,1.4601607,1.4912196,1.3920774,1.4072436,1.4629358,1.4047828,1.4933648,1.453379,1.4001595,1.3756896,1.3746983,1.4593954,1.4448328,1.4110386,1.4530314,1.449375,1.5131357,1.4160588,1.4049592,1.4029932,1.4091834,1.4627502,1.4244457,1.443257,1.4282752,1.44516,1.3497287,1.5048164,1.4276067,1.3929828,1.3867853,1.4317688,1.4131776,1.4022565,1.37183,1.4011651
4,0.004,1.4518393,1.4811391,1.4366045,1.4335274,1.447639,1.502324,1.4162753,1.451226,1.4387978,1.4097449,1.4350097,1.4020324,1.4259722,1.4080813,1.4183477,1.4057708,1.4680058,1.4465442,1.3552278,1.3607274,1.3815938,1.4137056,1.354111,1.3668935,1.4707774,1.4242245,1.3359467,1.4645987,1.4046139,1.3809417,1.4223132,1.409672,1.3927517,1.3722059,1.3648435,1.403862,1.3656532,1.3565245,1.4062502,1.4357933,1.4176923,1.4424973,1.5177552,1.4776387,1.5331738,1.4984056,1.3611578,1.434234,1.4232278,1.4058486,1.3903571,1.3568234,1.3810624,1.4506882,1.4426643,1.4131908,1.3934953,1.4209226,1.3320044,1.4328142,1.411157,1.4428608,1.2795769,1.4150069,1.4486507,1.4534048,1.497422,1.3780375,1.3805635,1.4715675,1.4040965,1.494907,1.4543806,1.3873277,1.3442082,1.3504905,1.4546175,1.4390926,1.3989142,1.4576268,1.4619284,1.5255994,1.3860176,1.3978306,1.400338,1.3931372,1.457161,1.400695,1.4409637,1.4207152,1.4474795,1.3294646,1.4999628,1.416929,1.3770599,1.3556451,1.42141,1.3960085,1.375407,1.3494716,1.3856252
5,0.005,1.448177,1.4803799,1.4388652,1.4240271,1.4228854,1.5063771,1.3937726,1.4534825,1.4314622,1.4048617,1.433754,1.3967927,1.4284016,1.3853878,1.4056286,1.3824441,1.4574243,1.4365255,1.3288946,1.3416305,1.359954,1.410857,1.327244,1.3591682,1.4722195,1.4091878,1.2970083,1.4880333,1.398706,1.3783022,1.4065399,1.4097768,1.3944936,1.3607306,1.3477975,1.380662,1.340275,1.3397046,1.3879927,1.4179186,1.3956313,1.4286216,1.5281081,1.4877418,1.5467327,1.4869345,1.333462,1.4275055,1.3985729,1.3918924,1.3730996,1.3233057,1.359615,1.4466556,1.4474189,1.416751,1.3857739,1.4183455,1.3007764,1.4246404,1.3978992,1.4330987,1.2630322,1.4046826,1.4311177,1.4534675,1.4837638,1.3761564,1.3573154,1.473414,1.4027004,1.4832654,1.4396187,1.3701636,1.3186563,1.3333312,1.4440156,1.432386,1.3886006,1.4610159,1.4679279,1.5338454,1.3674587,1.3848274,1.3929973,1.3891506,1.435556,1.3767909,1.4357585,1.4104337,1.4339519,1.3180904,1.473842,1.4142214,1.3607143,1.3283186,1.4083929,1.3912781,1.3550107,1.3131343,1.3607062
6,0.006,1.4453206,1.4809653,1.4437627,1.4170396,1.3937225,1.5108712,1.3859382,1.4514087,1.4274654,1.4042301,1.431461,1.3859358,1.4273955,1.3764551,1.394744,1.3667705,1.4371313,1.4220403,1.3035619,1.3340484,1.3395466,1.4069313,1.3066968,1.3508735,1.4607751,1.3845401,1.272746,1.4948528,1.3950262,1.3633577,1.3992001,1.405338,1.3913969,1.3442764,1.3525971,1.3619267,1.3127146,1.3217134,1.3930304,1.4010143,1.3827863,1.4154426,1.5356903,1.5012622,1.5513159,1.4760101,1.3191279,1.4121035,1.3829448,1.3866868,1.3704345,1.3022352,1.3323776,1.4502244,1.4441856,1.4215161,1.3871442,1.4157045,1.2591205,1.4276828,1.3933573,1.428484,1.2335252,1.406614,1.4050136,1.4527923,1.4829236,1.3718668,1.3330816,1.4736522,1.39616,1.4667989,1.4177432,1.349751,1.3080271,1.3079844,1.4238685,1.4338516,1.3882693,1.4503669,1.4690378,1.5405746,1.3456206,1.3674155,1.3872494,1.3897896,1.4292201,1.3612392,1.4341348,1.3964598,1.4210275,1.3029743,1.4589847,1.4009742,1.3492191,1.310463,1.3957014,1.3812562,1.3486164,1.293945,1.3257911
7,0.007,1.4400605,1.4704759,1.433791,1.4032853,1.3651943,1.5201652,1.3828839,1.4623691,1.4281656,1.3987614,1.4170495,1.3740221,1.4225724,1.3567437,1.3787308,1.3542646,1.4224474,1.403431,1.2823505,1.3145026,1.3088452,1.4002317,1.2815125,1.3404957,1.4558889,1.3664382,1.2574345,1.4901668,1.3792777,1.3576251,1.3971044,1.3970113,1.3744133,1.3215275,1.3497645,1.334795,1.2844964,1.3049892,1.3905072,1.3674302,1.3580084,1.4152774,1.5375015,1.5080923,1.5447894,1.4763231,1.2908298,1.4040234,1.3841944,1.3756279,1.3628064,1.2922091,1.2926348,1.4502786,1.4442862,1.444413,1.4013957,1.4098538,1.2197173,1.4340589,1.401378,1.4178102,1.2016766,1.3952497,1.377848,1.4464878,1.4837378,1.367896,1.3104144,1.4636369,1.3779886,1.4675384,1.4253577,1.3306265,1.3017676,1.2746409,1.4072933,1.430765,1.3778619,1.4482756,1.4706416,1.5413034,1.3270656,1.3534145,1.391682,1.3926586,1.4327532,1.362705,1.4185301,1.3687797,1.4133056,1.2655934,1.4506637,1.4003185,1.3257033,1.2777933,1.3830423,1.360135,1.3376349,1.2714909,1.2934326
8,0.008,1.4388486,1.469039,1.4275377,1.3899089,1.3579451,1.5325893,1.3834769,1.4727703,1.421988,1.3814819,1.4107512,1.3664831,1.414121,1.3459669,1.3458443,1.3357184,1.4263397,1.4214625,1.2536355,1.2945325,1.2852974,1.3947802,1.2648845,1.3420125,1.4366148,1.3488208,1.2461184,1.4762399,1.3697996,1.3522274,1.3882278,1.3842872,1.3720165,1.3141122,1.3336065,1.321111,1.2607738,1.3023392,1.3941563,1.3355392,1.3298339,1.4028038,1.5375915,1.5249249,1.5659491,1.4604392,1.2592251,1.3862962,1.3809627,1.3748801,1.3500597,1.2784227,1.2820593,1.4565946,1.4214739,1.460502,1.4000645,1.4048136,1.183093,1.4379891,1.4087242,1.4053673,1.1839783,1.3931155,1.3459531,1.4395633,1.4821274,1.359063,1.2890527,1.4546617,1.3647335,1.465424,1.4242172,1.2932321,1.3116165,1.2553859,1.3865103,1.4437532,1.3717084,1.448831,1.4826516,1.5377909,1.3174971,1.3304273,1.3678889,1.3740647,1.4359484,1.3545713,1.400969,1.3354183,1.4017562,1.2314179,1.4561108,1.3843313,1.3050023,1.2530167,1.3696177,1.3405218,1.3216704,1.2519265,1.2712121
9,0.009,1.4384049,1.4680235,1.4189684,1.3790921,1.3352145,1.5387521,1.3762801,1.4661177,1.4305036,1.3709159,1.3983544,1.3511373,1.405086,1.3414276,1.3377601,1.3118653,1.425435,1.429534,1.2336693,1.281707,1.2715673,1.3891684,1.2371174,1.348544,1.4293884,1.3283721,1.2386793,1.4710608,1.3539454,1.3336736,1.3756493,1.3731996,1.3609124,1.2967496,1.316927,1.3125186,1.2433767,1.2917457,1.3988069,1.3349999,1.3124272,1.3846213,1.5386403,1.5325308,1.5897205,1.4604037,1.2402753,1.3673253,1.3753219,1.3569859,1.3311698,1.2638627,1.2726876,1.4543806,1.4208924,1.4624895,1.3957667,1.4042444,1.1530491,1.4403228,1.4047654,1.3948969,1.169803,1.3961332,1.33101,1.4399817,1.4898499,1.3330758,1.2767531,1.4478707,1.354425,1.465561,1.4181634,1.2684642,1.2952756,1.2455487,1.3868328,1.4548851,1.3399009,1.4377732,1.4858401,1.543296,1.3091183,1.3063476,1.3489594,1.3615928,1.433837,1.3247031,1.3891089,1.3109417,1.3791273,1.2024816,1.4557867,1.3563786,1.2720131,1.2453419,1.3521616,1.3226315,1.3011568,1.2425995,1.2421082
