,Date,videoVBR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.001,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362
1,0.002,0.20528768,0.19325192,0.16003118,0.19524209,0.18367557,0.19638161,0.20645203,0.17410724,0.20961091,0.20016761,0.18018994,0.19470985,0.17747578,0.1821942,0.19893046,0.19601586,0.19693476,0.18544835,0.16198736,0.1616413,0.16313672,0.19589204,0.18393214,0.18315527,0.18987861,0.182308,0.1961115,0.17373478,0.1613602,0.16902421,0.1566111,0.2061776,0.20217225,0.18363129,0.15661639,0.18624164,0.1676134,0.17933837,0.18285206,0.1802732,0.1743381,0.17412554,0.1647659,0.225809,0.20288523,0.18687703,0.21193747,0.20079957,0.1990807,0.17858477,0.19146211,0.17918502,0.19112411,0.20172222,0.20027436,0.19602273,0.19574061,0.17628846,0.18075298,0.20486766,0.18339677,0.16076602,0.18313132,0.18454382,0.20078476,0.18731958,0.18014659,0.19790685,0.16079451,0.17805305,0.18051684,0.1744949,0.18881236,0.182695,0.19973657,0.20878947,0.19573715,0.18442245,0.19736052,0.17605796,0.17215118,0.18086773,0.18563247,0.20725867,0.19102918,0.15633145,0.175391,0.1930859,0.19551982,0.1999306,0.19505343,0.21850397,0.21004933,0.19866,0.1936378,0.19091833,0.19426304,0.22549573,0.19778492,0.22220829,0.16398954
2,0.003,0.21927992,0.20708644,0.19396894,0.18980123,0.1776445,0.20405371,0.166514,0.1789655,0.2014439,0.22761089,0.17462172,0.20085141,0.18800974,0.19542176,0.19705828,0.20271124,0.20264831,0.19536673,0.175651,0.1630854,0.14339478,0.20532666,0.18882656,0.20741531,0.1821173,0.17748752,0.19151233,0.18744785,0.1710262,0.16342112,0.14895731,0.2218469,0.1917619,0.19359396,0.16226704,0.20282371,0.17018479,0.18592036,0.18807654,0.17876461,0.20230602,0.15441717,0.17259717,0.22736363,0.1845589,0.18250635,0.19563851,0.20271501,0.19330992,0.1664678,0.22171967,0.18719423,0.1793761,0.22096846,0.19855008,0.18326296,0.21833088,0.15979674,0.18760821,0.20448104,0.17994507,0.18955648,0.17789398,0.19720598,0.19093694,0.1596494,0.15761235,0.2177132,0.15329054,0.18385999,0.20004824,0.18549001,0.17436233,0.21969962,0.22100732,0.19912048,0.18612358,0.19470549,0.18534024,0.19837719,0.17991431,0.20794484,0.19090205,0.19630657,0.1890857,0.18056668,0.18512118,0.17476271,0.18291156,0.17677666,0.22141965,0.21330084,0.22315112,0.19922276,0.18570174,0.20020019,0.19930163,0.22858752,0.20106035,0.2024165,0.1793295
3,0.004,0.22591943,0.2141457,0.1776328,0.20771433,0.16700767,0.17954591,0.16871691,0.19162996,0.19561434,0.21816272,0.19513585,0.20482513,0.19569214,0.21562162,0.18699004,0.22851229,0.22080123,0.21462186,0.19699818,0.14545383,0.15839466,0.21237205,0.18958957,0.22140278,0.18737338,0.19385417,0.17847821,0.18967418,0.18760581,0.1564889,0.16315626,0.21992424,0.1944443,0.17943743,0.16399124,0.21874157,0.18129608,0.2057788,0.22175176,0.20331308,0.17553236,0.16811058,0.19578016,0.27646032,0.1743217,0.16855435,0.20669578,0.198248,0.17702645,0.16975881,0.21008985,0.19710876,0.19932894,0.19031793,0.20009837,0.18726027,0.21888216,0.16124608,0.20101689,0.21845984,0.19066419,0.18947315,0.15508203,0.17998606,0.1762264,0.180538,0.1613417,0.1991235,0.15796094,0.18714568,0.2028838,0.19361475,0.2038132,0.21104455,0.17768013,0.19477063,0.18830346,0.21011539,0.18107569,0.20365833,0.20341206,0.192457,0.19648643,0.18829152,0.21840991,0.18443024,0.17009221,0.1789978,0.20234823,0.16979231,0.23309697,0.19667971,0.22376874,0.18661395,0.19024639,0.20427564,0.20829834,0.22565049,0.20205429,0.1991504,0.17931427
4,0.005,0.23133348,0.22576402,0.17676064,0.21112145,0.17929259,0.16013047,0.17713833,0.23724633,0.20726699,0.21141867,0.20130683,0.19275412,0.22241575,0.24051318,0.21113522,0.22068182,0.186891,0.22806223,0.18395796,0.14330025,0.1605283,0.21837467,0.21813104,0.22307462,0.1744515,0.18356428,0.2155508,0.18540166,0.20059219,0.15481213,0.1747422,0.2442133,0.18686074,0.17434378,0.16430081,0.2261515,0.16921328,0.22549585,0.2286202,0.18377592,0.17653103,0.17370552,0.21470745,0.2813272,0.1680875,0.17510203,0.19693236,0.17746171,0.17834258,0.14804775,0.20899357,0.2119448,0.20580451,0.1863718,0.18275857,0.17828715,0.2493936,0.15415236,0.20058443,0.23505798,0.17729056,0.17892022,0.15887368,0.19104606,0.18877506,0.2258101,0.17808957,0.20897807,0.17618261,0.20291333,0.18322782,0.20479475,0.211389,0.22204259,0.1642689,0.18886717,0.1984932,0.20986497,0.20216174,0.22061372,0.18498212,0.19654171,0.19941725,0.18353492,0.21920285,0.18762623,0.1629934,0.17579764,0.22812961,0.1851595,0.20871362,0.22185473,0.19880131,0.1874564,0.16840684,0.1965065,0.2108201,0.23447162,0.20133796,0.19934238,0.16968739
5,0.006,0.24205783,0.23391458,0.19019367,0.17313935,0.19589233,0.17004524,0.1574247,0.24017595,0.23115924,0.2138283,0.19163845,0.19058448,0.21344168,0.21670237,0.20466977,0.23082313,0.17879497,0.21856917,0.19937868,0.12599249,0.18630764,0.22380686,0.25711268,0.21247444,0.15150976,0.1636914,0.2074332,0.2042121,0.18537599,0.15399392,0.16879253,0.24493341,0.19415854,0.19575697,0.15698639,0.23387644,0.16031024,0.21378602,0.24404526,0.21762693,0.14946504,0.17676352,0.22862388,0.26838848,0.20368586,0.19672145,0.21212924,0.18891585,0.18094791,0.15141864,0.2505432,0.20515923,0.22410788,0.176147,0.19403358,0.19892439,0.24088366,0.14793532,0.20924532,0.22868924,0.1878342,0.21158731,0.13749637,0.1807173,0.19254157,0.23681678,0.18422727,0.21544746,0.16330793,0.1993159,0.17085043,0.21046782,0.2241048,0.23585975,0.18871886,0.20656273,0.22735846,0.19830374,0.21663664,0.22410715,0.16263379,0.21435356,0.22760475,0.1799795,0.18425012,0.20232534,0.17439096,0.19038637,0.24143271,0.1962076,0.20944792,0.21076861,0.21002483,0.17264418,0.16700712,0.22619902,0.21981055,0.25131693,0.149703,0.2001191,0.19887854
6,0.007,0.24542947,0.2441386,0.18246643,0.17863669,0.20155278,0.16360359,0.16099724,0.23412885,0.22371177,0.22399935,0.17452917,0.21721996,0.21155483,0.20531695,0.19578694,0.22077446,0.17800787,0.23531769,0.20165013,0.13804671,0.1777536,0.22335091,0.26075763,0.22788961,0.15717779,0.16301663,0.20746814,0.20960183,0.21687923,0.14982589,0.16469795,0.24626213,0.20085698,0.16749436,0.14067598,0.23215766,0.17667925,0.16213787,0.26880276,0.2024803,0.16334172,0.1775328,0.25397772,0.26542172,0.21436556,0.17736125,0.2152009,0.21077216,0.19742519,0.18615504,0.2687539,0.22883834,0.2252056,0.19017386,0.20844708,0.1911838,0.24400628,0.14302236,0.19888471,0.23254815,0.18494022,0.18978378,0.12562253,0.17041503,0.20604546,0.26135665,0.1861873,0.19814338,0.15562198,0.20531422,0.1530655,0.20921087,0.21367504,0.23690821,0.18895274,0.19842944,0.24819559,0.1950071,0.22247232,0.23147824,0.16151658,0.20710886,0.22161701,0.18477026,0.19458234,0.2233881,0.18091549,0.18720578,0.2130102,0.19736016,0.18642372,0.20562573,0.21088663,0.17083563,0.16804495,0.23064041,0.21999443,0.24341397,0.15231007,0.19648647,0.1960736
7,0.008,0.23613808,0.23607527,0.19941495,0.17451778,0.18793528,0.14092852,0.15788391,0.24676584,0.2419321,0.21001244,0.19050102,0.20335571,0.19461083,0.19591475,0.2000865,0.2281448,0.1938365,0.25775164,0.19903325,0.12047159,0.18122657,0.19283544,0.25410956,0.21659209,0.18712835,0.15775852,0.18919188,0.21158332,0.21608989,0.15201536,0.15368718,0.23793012,0.22749652,0.16731256,0.15627451,0.2276429,0.15841253,0.16412319,0.28733152,0.18272954,0.16666566,0.19101483,0.2601988,0.2698059,0.20421378,0.1740081,0.20765696,0.21134616,0.18782157,0.18293954,0.252585,0.20230083,0.23338138,0.21032418,0.2100423,0.18297929,0.26418185,0.14133587,0.21187127,0.24393949,0.18900816,0.16461813,0.13147159,0.16992377,0.21464403,0.26386398,0.20426098,0.19670789,0.14365968,0.22852969,0.16885905,0.17696269,0.20278777,0.2008113,0.18855914,0.19051114,0.27201483,0.19609402,0.2467505,0.24000627,0.18394426,0.21342602,0.21563672,0.18590301,0.1779022,0.1939818,0.18628867,0.1784278,0.21903183,0.20030533,0.17682448,0.2034447,0.21229576,0.19810596,0.1631014,0.2450711,0.2049268,0.23447816,0.14343198,0.20981507,0.1961613
8,0.009,0.2235788,0.2809505,0.20035595,0.19436873,0.18041548,0.1399239,0.16277196,0.2608476,0.25654152,0.1941,0.17295992,0.21791285,0.20380522,0.19196191,0.18302862,0.25282454,0.19317171,0.2746495,0.19100836,0.08017666,0.18817598,0.18134767,0.2646392,0.21931273,0.18000181,0.16834171,0.19661091,0.20713046,0.18450665,0.16100703,0.14447062,0.22316118,0.20739146,0.16976097,0.16680515,0.21646161,0.14389643,0.18398383,0.29121506,0.20592026,0.15694907,0.20193245,0.26604584,0.24693061,0.18719108,0.17272925,0.21145304,0.22486594,0.20770298,0.15637594,0.26023018,0.188024,0.22555363,0.19927101,0.2221079,0.20591727,0.2545582,0.15387441,0.22804095,0.2613676,0.17216077,0.16615385,0.1562925,0.1724876,0.22596027,0.28879762,0.20051877,0.17975308,0.16724414,0.2538959,0.17917047,0.18388698,0.20498095,0.18718727,0.22271541,0.19490862,0.24799842,0.20706216,0.24681777,0.24349968,0.18816958,0.20609477,0.19967583,0.19728912,0.1914765,0.18953842,0.21286944,0.16287293,0.22377847,0.20244372,0.15948726,0.2222368,0.2159621,0.21327794,0.19621308,0.2428694,0.2195192,0.22654623,0.13962801,0.22078647,0.20448244
9,0.01,0.2118365,0.2857351,0.18947446,0.1901877,0.16387989,0.1499325,0.1426654,0.26032633,0.26548067,0.19058925,0.1615338,0.22888094,0.20623937,0.18333608,0.19724326,0.22056985,0.20781554,0.2768728,0.23316653,0.083486214,0.19444858,0.17667983,0.28072712,0.2085132,0.18308881,0.17933571,0.20539187,0.22296998,0.18996611,0.17295653,0.17498788,0.22708482,0.20476454,0.15898824,0.15821101,0.2134296,0.14388885,0.16750878,0.2581734,0.19214588,0.17812043,0.19755022,0.29584375,0.26540527,0.1812335,0.16647497,0.20094916,0.23056565,0.19990778,0.1536473,0.2571486,0.18780516,0.24767275,0.21396038,0.24421076,0.23154515,0.25020635,0.16086179,0.22780482,0.2797959,0.15606712,0.18298285,0.141424,0.1854852,0.17545922,0.2967832,0.20598882,0.16056001,0.15468377,0.2465359,0.16106479,0.18806566,0.17411058,0.19002263,0.22341402,0.19221753,0.27219337,0.18216638,0.23645234,0.23887397,0.19411038,0.20313069,0.16689582,0.19718207,0.19596754,0.19975172,0.20729434,0.19577667,0.22247176,0.19308376,0.16586821,0.21654655,0.20582823,0.21413817,0.19647723,0.21736404,0.2460899,0.25137523,0.15034187,0.19777723,0.19633628
