,Date,videoVBR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.001,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362
1,0.002,0.20528768,0.2208698,0.18388918,0.19662465,0.20131354,0.16009942,0.1830554,0.1620987,0.17508614,0.19398125,0.18101464,0.22535402,0.21055116,0.17567572,0.1754457,0.16690905,0.17859921,0.16552427,0.16181904,0.22888479,0.21045254,0.22627866,0.19725963,0.23437229,0.17340052,0.20363593,0.18306728,0.17407282,0.18168174,0.17682257,0.17875099,0.16825147,0.21335047,0.1831102,0.16156478,0.18630499,0.18999968,0.18710676,0.1809478,0.19248573,0.19563869,0.20223309,0.15260652,0.18170835,0.1951016,0.21493442,0.17873089,0.15608852,0.17118107,0.18820103,0.21395098,0.17915557,0.16070667,0.19029705,0.19786994,0.17611405,0.17100917,0.20211081,0.18747702,0.1969409,0.18598044,0.18754125,0.13439113,0.15888375,0.1948718,0.1800738,0.22528493,0.20947541,0.17136124,0.19989057,0.22190665,0.2097285,0.197617,0.20190702,0.19925044,0.1602725,0.17727445,0.1984577,0.17698671,0.16099042,0.21640585,0.23763373,0.19448046,0.19572489,0.18060796,0.21587026,0.16044673,0.18320216,0.18864797,0.18714382,0.19121453,0.18373759,0.17610589,0.15851948,0.20803033,0.22017373,0.1895537,0.18212488,0.19627517,0.15872817,0.2406731
2,0.003,0.21927992,0.26242626,0.17824711,0.22121955,0.22613566,0.121926405,0.18745144,0.14240801,0.16682613,0.1878335,0.18084022,0.24746983,0.24540529,0.1460509,0.18470152,0.16422714,0.16557677,0.14964351,0.14445226,0.22657982,0.2042386,0.26747155,0.18673697,0.25856474,0.16656353,0.2280134,0.18899399,0.15627097,0.1795748,0.16868913,0.17874914,0.18116222,0.23934355,0.17871659,0.1499484,0.19000109,0.18715753,0.19064057,0.17814639,0.21431802,0.1966016,0.20072149,0.14239484,0.17310467,0.18955494,0.2266564,0.17649925,0.111856796,0.12929675,0.17174186,0.24068123,0.19081953,0.11073854,0.19304629,0.18361835,0.16306,0.1696677,0.22874959,0.19357072,0.20815262,0.1826585,0.18951443,0.11378606,0.15282835,0.22151573,0.17029245,0.24527532,0.22508988,0.14073385,0.20983346,0.25904346,0.22675353,0.19346353,0.20414172,0.20331852,0.13717365,0.16282636,0.20523661,0.17050254,0.1303628,0.25888056,0.26697287,0.20118076,0.19079113,0.19067277,0.24590482,0.13416128,0.20239629,0.17951536,0.20151165,0.1844851,0.17455205,0.16393882,0.12650828,0.24854447,0.250464,0.18837135,0.1832129,0.20661657,0.15948643,0.2648126
3,0.004,0.22591943,0.2820988,0.18781221,0.21991211,0.246244,0.09573783,0.19246551,0.12865585,0.17411119,0.19270678,0.18801269,0.26092982,0.25954202,0.12131133,0.16775984,0.145395,0.16919,0.15272188,0.11718201,0.22530448,0.21567525,0.29844585,0.17767017,0.2694625,0.1805339,0.23219465,0.20248704,0.14605848,0.16172421,0.1584573,0.21515562,0.19159575,0.26302803,0.17375322,0.14675334,0.17534496,0.18788086,0.19534643,0.17014028,0.22835468,0.20717801,0.21377328,0.11687577,0.17310546,0.18692842,0.21403663,0.15375684,0.067866,0.09329481,0.1639013,0.29584685,0.20206113,0.07765571,0.15805218,0.18060601,0.17008188,0.16701889,0.26154444,0.17829782,0.2043642,0.18083212,0.17804173,0.07694948,0.13387148,0.22960791,0.15618558,0.25318566,0.2417979,0.11502364,0.21954677,0.30824634,0.23865113,0.1823615,0.20868573,0.2062866,0.10407352,0.15029381,0.21129982,0.18897124,0.1157594,0.28107634,0.31680936,0.20314011,0.16715458,0.20259023,0.27052298,0.10929978,0.19725703,0.17948832,0.18426767,0.17228167,0.17963329,0.14779283,0.09560224,0.31778812,0.27857867,0.19474046,0.18002212,0.2167663,0.14333238,0.28686994
4,0.005,0.23133348,0.31246522,0.19054122,0.2263655,0.26961714,0.082571015,0.1956054,0.11043242,0.1985858,0.20212275,0.17819121,0.2715074,0.27129355,0.09427807,0.13456461,0.14208807,0.15212716,0.13568048,0.10151507,0.21749324,0.2358633,0.31230348,0.16574593,0.2925618,0.17071414,0.24464647,0.21057516,0.13418989,0.15354483,0.16913144,0.23543087,0.19722766,0.27283815,0.15458953,0.13629006,0.16217342,0.1865713,0.21887112,0.15071644,0.24530452,0.19403026,0.21745636,0.08840255,0.17867151,0.18423128,0.23739053,0.16288309,0.031990305,0.06338005,0.14606151,0.33334544,0.21000323,0.030384447,0.1451083,0.1672907,0.14943124,0.16350514,0.26918936,0.17033233,0.20473123,0.15979743,0.17256488,0.059944633,0.11491789,0.21464203,0.14665833,0.27318165,0.24467053,0.10380673,0.22130302,0.32472655,0.25831705,0.15828255,0.2274317,0.22288452,0.096257895,0.15144031,0.22106186,0.1828815,0.09246429,0.30654657,0.375138,0.19910654,0.13890764,0.18371454,0.29529688,0.09251176,0.20174813,0.17262319,0.176337,0.1553293,0.18074258,0.13396055,0.08662887,0.3716892,0.2888072,0.21435368,0.16522995,0.23370606,0.12611006,0.32567948
5,0.006,0.24205783,0.34751797,0.20334856,0.26853323,0.30308098,0.05756184,0.20001598,0.098384835,0.2142463,0.19593218,0.18854734,0.2996203,0.26858854,0.09075744,0.124523796,0.15343471,0.13177301,0.13315833,0.08800196,0.2154259,0.26179904,0.35851306,0.17487068,0.30075002,0.17320305,0.25194222,0.20674865,0.11453676,0.15714999,0.15750897,0.2415826,0.1994549,0.2905378,0.13334922,0.1261067,0.17082709,0.17686334,0.2199171,0.15481913,0.26878992,0.17940012,0.2127638,0.05945022,0.18527773,0.17938878,0.24284449,0.15308248,-0.0030037286,0.03765327,0.12304917,0.37310418,0.22413889,-0.013272445,0.1388428,0.16421664,0.14974253,0.15776926,0.28839654,0.15097323,0.22868843,0.15439779,0.1689503,0.050904505,0.10771712,0.20433804,0.11099554,0.3050301,0.2381533,0.10794324,0.20910631,0.33039132,0.30647513,0.12803617,0.23797216,0.240847,0.094171785,0.1490774,0.22285695,0.1637701,0.06753653,0.3311938,0.41529244,0.20042591,0.11911725,0.16320994,0.32062116,0.07807379,0.19768561,0.17501727,0.1825092,0.16830449,0.16864689,0.12105722,0.07250413,0.39831027,0.30339852,0.24883083,0.17740934,0.2504687,0.08665322,0.36089525
6,0.007,0.24542947,0.39854047,0.23562343,0.29172212,0.3440509,0.022440562,0.22252989,0.094935335,0.21869236,0.18435559,0.20480494,0.30748987,0.2818238,0.08925778,0.1008525,0.1526351,0.1361537,0.1264617,0.09164686,0.20775364,0.2562303,0.4266496,0.20709775,0.3078278,0.18579444,0.2501441,0.20038274,0.11343449,0.16539788,0.14988835,0.25766778,0.19384792,0.31604373,0.13149494,0.11253416,0.17059289,0.17445982,0.22973923,0.15161154,0.2873363,0.1747297,0.21123715,0.02923486,0.20166329,0.18595941,0.2337445,0.13620359,-0.03641837,0.015842794,0.103398405,0.42161518,0.2508754,-0.05635986,0.13733757,0.13943985,0.15198712,0.13331315,0.31511545,0.13164665,0.24527805,0.13918594,0.14934133,0.021776699,0.09062126,0.18479231,0.09217271,0.32753703,0.26780686,0.12703668,0.19222702,0.3415013,0.33574378,0.10591887,0.24306774,0.23399395,0.09639458,0.15958115,0.19096382,0.14137158,0.048359618,0.3606394,0.4332883,0.20373453,0.085111216,0.15083355,0.33432016,0.075486265,0.19511785,0.16728412,0.18263808,0.1743006,0.15336607,0.09012096,0.06212397,0.44441992,0.33720577,0.2649473,0.20531882,0.25091586,0.05691684,0.41096547
7,0.008,0.23613808,0.4326387,0.25956842,0.32652783,0.36828652,-0.026217457,0.23532179,0.08644039,0.22423506,0.15243217,0.21246146,0.32169586,0.2889007,0.09714707,0.06625168,0.14191382,0.12594804,0.12981814,0.052506782,0.18592173,0.26445764,0.47070125,0.23399019,0.30485666,0.17720738,0.23927103,0.19497032,0.12864226,0.1598019,0.1510796,0.26318952,0.18219869,0.3410273,0.14752692,0.115047745,0.1759414,0.18293075,0.25747874,0.13122773,0.28425035,0.16112663,0.19806542,0.006589268,0.22987361,0.19203793,0.23866019,0.11034647,-0.058919027,-0.0022020445,0.07136968,0.46632558,0.265907,-0.09168778,0.1226651,0.11974982,0.12293822,0.13595182,0.3453792,0.12941003,0.27290133,0.135424,0.1528291,-0.014944111,0.06918398,0.17913069,0.06017707,0.36029842,0.27944726,0.10301825,0.18999106,0.37107602,0.33837298,0.100311175,0.26984212,0.20848355,0.09129535,0.15702046,0.18816759,0.13058014,0.031799484,0.38551807,0.4458347,0.20572734,0.07036872,0.13494727,0.36987492,0.06494362,0.200224,0.16439725,0.19495301,0.15781173,0.14548127,0.06768787,0.047280304,0.47468188,0.3887392,0.28048334,0.2166232,0.24715269,0.04009547,0.44756266
8,0.009,0.2235788,0.45884383,0.2621266,0.3637128,0.40934065,-0.062269233,0.2536775,0.06661905,0.25848243,0.12531798,0.2242894,0.36407778,0.30940744,0.094778135,0.01933166,0.14504987,0.1084065,0.1369574,0.020369032,0.1677941,0.27538463,0.50683105,0.260707,0.31979132,0.18619052,0.22407417,0.21522748,0.1457328,0.15082341,0.13065132,0.27845165,0.16702297,0.34309417,0.18679397,0.071319945,0.16174461,0.1621006,0.24703108,0.10819433,0.3075108,0.14962423,0.19380291,-0.028628279,0.2570868,0.19562571,0.22493371,0.08954103,-0.085661076,-0.01854258,0.058550883,0.51511425,0.27724403,-0.13708986,0.14298457,0.07658201,0.092792444,0.13053848,0.37827587,0.13342507,0.30197403,0.12499204,0.16056387,-0.0108640995,0.061472353,0.1761698,0.050679,0.39351252,0.28749394,0.06832648,0.18678716,0.4083471,0.35970637,0.083632156,0.2981108,0.19358788,0.075899534,0.15889914,0.18585521,0.1393099,0.01161444,0.4116997,0.4846309,0.20758818,0.04818975,0.14300063,0.42398423,0.07038246,0.20359339,0.16496949,0.1996699,0.15923871,0.1265296,0.03639338,0.037279945,0.5014114,0.40103877,0.2959248,0.22981854,0.27227807,0.020263221,0.49920237
9,0.01,0.2118365,0.46447983,0.26155373,0.37567267,0.42880872,-0.09933064,0.2793012,0.04822602,0.26544112,0.10749144,0.2457755,0.3802669,0.33986363,0.08157648,-0.019521188,0.12350787,0.092480786,0.12584415,0.0023383535,0.15768717,0.29155383,0.5380719,0.27687663,0.3441178,0.1762218,0.20314695,0.21348956,0.16231973,0.14453354,0.13054758,0.30642283,0.15783426,0.3380037,0.20603448,0.041103266,0.1594815,0.17587587,0.23339209,0.09288252,0.3347693,0.13418221,0.19893998,-0.061353814,0.27046606,0.19268323,0.22607383,0.073270336,-0.10127451,-0.04473519,0.044362113,0.56164825,0.31584778,-0.18441398,0.1641257,0.06821207,0.07093568,0.11310666,0.40703425,0.124781415,0.30688927,0.12417103,0.16549772,-0.01991876,0.055622593,0.16532832,0.05053126,0.4252026,0.29595232,0.050230145,0.19280273,0.41952145,0.39271343,0.09508171,0.32062078,0.18647633,0.059261546,0.16417438,0.17581415,0.12076028,-0.013542072,0.45274565,0.5203152,0.20289764,0.029315483,0.14406173,0.46310264,0.04667171,0.19209127,0.1879621,0.20077915,0.15498331,0.103381366,0.0016888964,0.015124935,0.5340034,0.42086646,0.29494485,0.23390654,0.28527933,0.0076241135,0.5605414
